time,experimental_rate,fit_rate
1.3667,0.228085264190618,0.29414615511988584
1.3833,0.23290050338978652,0.2977188676207932
1.4,0.23775871653817957,0.30131310248616383
1.4167,0.24265824534871724,0.3049073373515346
1.4333,0.24759757316193007,0.30848004985244193
1.45,0.25269865879290876,0.31207428471781257
1.4667,0.2578326628914597,0.3156685195831832
1.4833,0.26299865911424625,0.3192412320840906
1.5,0.2684299941552938,0.3228354669494613
1.5167,0.2737688515252792,0.32642970181483194
1.5333,0.2791338661836432,0.33000241431573935
1.55,0.2846360319815012,0.33359664918111
1.5667,0.29026968237860723,0.3371908840464807
1.5833,0.29581384408040373,0.340763596547388
1.6,0.30137981265683944,0.3443578314127587
1.6167,0.3070721928069153,0.34795206627812936
1.6333,0.3127832894197499,0.35152477877903676
1.65,0.3186148802449746,0.3551190136444074
1.6667,0.3244627306878697,0.3587132485097781
1.6833,0.33042593963073136,0.36228596101068544
1.7,0.33640351236163724,0.36588019587605614
1.7167,0.34239602273967495,0.3694744307414268
1.7333,0.3484040422813794,0.3730471432423342
1.75,0.35442814126624245,0.3766413781077048
1.7667,0.3605612361858412,0.3802356129730755
1.7833,0.366709284700787,0.3838083254739829
1.8,0.37296307825639247,0.38740256033935355
1.8167,0.3791420751085778,0.3909967952047242
1.8333,0.3854261588819032,0.3945695077056316
1.85,0.3916390309456495,0.3981637425710023
1.8667,0.3979564721023076,0.4017579774363729
1.8833,0.40437641757635573,0.4053306899372803
1.9,0.4107284870117055,0.40892492480265097
1.9167,0.417182933046696,0.41251915966802166
1.9333,0.42357291924740204,0.416091872168929
1.95,0.4300652759926001,0.41968610703429965
1.9667,0.43649645095940814,0.42328034189967034
1.9833,0.442949811866716,0.42685305440057775
2.0,0.44942615375208345,0.4304472892659484
2.0167,0.45592627753928555,0.4340415241313191
2.0333,0.46245099123729116,0.4376142366322264
2.05,0.4690011111192717,0.44120847149759707
2.0667,0.475577462887563,0.44480270636296776
2.0833,0.4821043797485661,0.4483754188638751
2.1,0.4886603076732155,0.4519696537292458
2.1167,0.49524604178460385,0.45556388859461644
2.1333,0.5018623935129749,0.4591366010955239
2.15,0.5084357330635672,0.4627308359608945
2.1667,0.5149682763225918,0.4663250708262652
2.1833,0.5216092833690361,0.4698977833271726
2.2,0.5282119653924349,0.4734920181925433
2.2167,0.5347783647607767,0.47708625305791386
2.2333,0.5413104301396277,0.4806589655588212
2.25,0.5478820658144979,0.48425320042419195
2.2667,0.5544223459173843,0.48784743528956265
2.2833,0.56100442332108,0.49142014779047
2.3,0.5674869180674024,0.4950143826558406
2.3167,0.5740139684113775,0.49860861752121133
2.3333,0.5805158039148813,0.5021813300221186
2.35,0.5869939830992793,0.5057755648874894
2.3667,0.5934500097735085,0.50936979975286
2.3833,0.5998853370583948,0.5129425122537674
2.4,0.6063710096704277,0.516536747119138
2.4167,0.6127689255601317,0.5201309819845088
2.4333,0.6191502473389301,0.5237036944854161
2.45,0.6255162596081344,0.5272979293507868
2.4667,0.6318682124466692,0.5308921642161574
2.4833,0.638138485390611,0.5344648767170648
2.5,0.6443973452142469,0.5380591115824355
2.5167,0.6506459163143223,0.5416533464478062
2.5333,0.6568852990575814,0.5452260589487136
2.55,0.6630481364214174,0.5488202938140841
2.5667,0.6692040645595462,0.5524145286794548
2.5833,0.6753540892627672,0.5559872411803622
2.6,0.6814309445159362,0.5595814760457329
2.6167,0.687503937260883,0.5631757109111035
2.6333,0.693505807450208,0.566748423412011
2.65,0.6994375258500308,0.5703426582773816
2.6667,0.7053681585097652,0.5739368931427523
2.6833,0.711298545675912,0.5775096056436596
2.7,0.717093163329339,0.5811038405090304
2.7167,0.7229573113868439,0.584698075374401
2.7333,0.7286871600729704,0.5882707878753083
2.75,0.7343515367953027,0.591865022740679
2.7667,0.7400193470172595,0.5954592576060498
2.7833,0.7456912950569415,0.5990319701069571
2.8,0.7512996570849478,0.6026262049723277
2.8167,0.7568449249085711,0.6062204398376984
2.8333,0.7623275436617373,0.6097931523386058
2.85,0.7678165688044092,0.6133873872039765
2.8667,0.773175137810148,0.616981622069347
2.8833,0.7785409807702679,0.6205543345702546
2.9,0.7837767944068392,0.6241485694356251
2.9167,0.7890896697400654,0.6277428043009958
2.9333,0.7942729940784445,0.6313155168019032
2.95,0.7993958971633108,0.6349097516672739
2.9667,0.8045279454845148,0.6385039865326445
2.9833,0.8095305574474557,0.6420766990335519
3.0,0.8146124767625242,0.6456709338989226
3.0167,0.8196349600370922,0.6492651687642933
3.0333,0.8245280852704998,0.6528378812652006
3.05,0.8294316776789331,0.6564321161305713
3.0667,0.834275905775566,0.660026350995942
3.0833,0.8391311862082452,0.6635990634968493
3.1,0.8438567318150768,0.66719329836222
3.1167,0.8485935294274685,0.6707875332275907
3.1333,0.853341995499027,0.6743602457284981
3.15,0.8579602662247253,0.6779544805938686
3.1667,0.8625903053863336,0.6815487154592393
3.1833,0.8671609948646616,0.6851214279601467
3.2,0.8716721545614029,0.6887156628255174
3.2167,0.8761954785370759,0.692309897690888
3.2333,0.880659242843597,0.6958826101917954
3.25,0.8850632124795812,0.6994768450571661
3.2667,0.8894071325713635,0.7030710799225368
3.2833,0.8937634375982554,0.7066437924234442
3.3,0.8980595459361023,0.7102380272888148
3.3167,0.902295153355219,0.7138322621541855
3.3333,0.9065432898222032,0.7174049746550929
3.35,0.9107307021938967,0.7209992095204636
3.3667,0.9148570403216744,0.7245934443858342
3.3833,0.918995959454018,0.7281661568867416
3.4,0.9230735099345045,0.7317603917521123
3.4167,0.9271637828991869,0.735354626617483
