time,experimental_rate,fit_rate
1.3667,0.0002921595025681123,0.032280078449940165
1.3833,0.0003172338044122869,0.03267215374244694
1.4,0.00034410757442648876,0.03306659093430616
1.4167,0.00037287502056870814,0.03346102812616539
1.4333,0.00040363339806970266,0.03385310341867216
1.45,0.00043732123324613514,0.03424754061053138
1.4667,0.0004732726053064962,0.0346419778023906
1.4833,0.0005115970395301872,0.035034053094897384
1.5,0.0005543007664539079,0.035428490286756605
1.5167,0.0005987741272462932,0.035822927478615825
1.5333,0.000646049177307928,0.036215002771122606
1.55,0.0006973184785280528,0.03660943996298183
1.5667,0.000752838758505403,0.03700387715484105
1.5833,0.000810569963103136,0.03739595244734782
1.6,0.0008717194776424186,0.03779038963920705
1.6167,0.0009376752346100803,0.03818482683106627
1.6333,0.0010074347575440568,0.038576902123573044
1.65,0.0010824940068535627,0.038971339315432264
1.6667,0.0011617710083942079,0.03936577650729149
1.6833,0.0012468765095157153,0.03975785179979826
1.7,0.0013366435696633427,0.04015228899165749
1.7167,0.0014312508621606712,0.04054672618351671
1.7333,0.0015308816300165784,0.04093880147602348
1.75,0.0016357237886707177,0.0413332386678827
1.7667,0.0017476958849022006,0.04172767585974193
1.7833,0.0018653901655397709,0.042119751152248704
1.8,0.0019908625061730856,0.042514188344107924
1.8167,0.0021206888775450183,0.04290862553596715
1.8333,0.0022588520238838727,0.04330070082847392
1.85,0.0024016837349993825,0.043695138020333146
1.8667,0.002553438287582699,0.04408957521219237
1.8833,0.0027145584930252653,0.04448165050469914
1.9,0.0028809931245258324,0.04487608769655836
1.9167,0.003057433550122668,0.04527052488841759
1.9333,0.003239554755920193,0.04566260018092436
1.95,0.0034323532233763165,0.046057037372783584
1.9667,0.0036312190699232527,0.046451474564642804
1.9833,0.0038388315868344014,0.046843549857149586
2.0,0.0040554743599493515,0.047237987049008806
2.0167,0.004281438229499002,0.04763242424086803
2.0333,0.0045170215010935655,0.04802449953337481
2.05,0.00476253016571937,0.04841893672523402
2.0667,0.0050182781292112955,0.04881337391709325
2.0833,0.005281446935538225,0.04920544920960002
2.1,0.0055553276155888565,0.04959988640145925
2.1167,0.005840253816518537,0.049994323593318464
2.1333,0.006136567965324358,0.050386398885825245
2.15,0.0064411132248612946,0.050780836077684466
2.1667,0.006753962804128877,0.05117527326954369
2.1833,0.007082589667141592,0.05156734856205046
2.2,0.007420061198825323,0.05196178575390969
2.2167,0.007766459523664837,0.05235622294576891
2.2333,0.008121868109961294,0.05274829823827568
2.25,0.008490473255736597,0.05314273543013491
2.2667,0.008868465912917678,0.05353717262199413
2.2833,0.009260247669478527,0.053929247914500905
2.3,0.009657394604111635,0.054323685106360126
2.3167,0.010068731289400445,0.05471812229821935
2.3333,0.010490045441169826,0.05511019759072612
2.35,0.010921437425018055,0.05550463478258535
2.3667,0.011363009386789469,0.05589907197444457
2.3833,0.011814865298030108,0.05629114726695135
2.4,0.012282192887902221,0.05668558445881056
2.4167,0.012755050855161043,0.05708002165066979
2.4333,0.013238517322305632,0.057472096943176565
2.45,0.013732704071914958,0.05786653413503579
2.4667,0.01423772496426301,0.058260971326895006
2.4833,0.014748028328197327,0.05865304661940178
2.5,0.015269159432396484,0.05904748381126101
2.5167,0.015801234790945196,0.059441921003120235
2.5333,0.016344373129904,0.05983399629562701
2.55,0.01689254277640384,0.06022843348748622
2.5667,0.017451771245945658,0.06062287067934545
2.5833,0.01802218013353174,0.061014945971852225
2.6,0.01859736735038242,0.06140938316371145
2.6167,0.01918373132232032,0.061803820355570666
2.6333,0.019774618049647086,0.06219589564807745
2.65,0.020369771572674833,0.06259033283993666
2.6667,0.02097596518045275,0.0629847700317959
2.6833,0.02159332219897636,0.06337684532430267
2.7,0.02220738902711361,0.06377128251616189
2.7167,0.022839769354924377,0.06416571970802111
2.7333,0.023468331619491356,0.06455779500052788
2.75,0.024100098295655625,0.0649522321923871
2.7667,0.024742606781481324,0.06534666938424634
2.7833,0.02539597743408739,0.06573874467675311
2.8,0.02605226283870188,0.06613318186861232
2.8167,0.02671118923884408,0.06652761906047155
2.8333,0.027372481245933833,0.06691969435297833
2.85,0.028044325554098193,0.06731413154483755
2.8667,0.028709647094227853,0.06770856873669677
2.8833,0.02938522518614206,0.06810064402920354
2.9,0.03005345538472204,0.06849508122106276
2.9167,0.030740629890696147,0.068889518412922
2.9333,0.031419887827460635,0.06928159370542876
2.95,0.0320998014268824,0.069676030897288
2.9667,0.03278946834402674,0.07007046808914721
2.9833,0.03346995945864617,0.07046254338165399
3.0,0.03416953599239014,0.07085698057351321
3.0167,0.03486913565126781,0.07125141776537243
3.0333,0.03555854844481021,0.0716434930578792
3.05,0.03625717671499684,0.07203793024973842
3.0667,0.0369549411109501,0.07243236744159766
3.0833,0.03766185470770578,0.07282444273410442
3.1,0.03835712773867228,0.07321887992596365
3.1167,0.039061214189200166,0.07361331711782287
3.1333,0.03977420877412374,0.07400539241032965
3.15,0.040474524471717954,0.07439982960218887
3.1667,0.04118340502072537,0.07479426679404809
3.1833,0.04188983682500891,0.07518634208655486
3.2,0.042593513379340475,0.0755807792784141
3.2167,0.04330549431700459,0.0759752164702733
3.2333,0.044014367137155785,0.07636729176278008
3.25,0.044719821936651805,0.07676172895463931
3.2667,0.04542154854679048,0.07715616614649853
3.2833,0.04613112776887107,0.07754824143900531
3.3,0.04683661733341493,0.07794267863086453
3.3167,0.04753770429615123,0.07833711582272375
3.3333,0.0482463585218188,0.07872919111523052
3.35,0.048950242739059346,0.07912362830708976
3.3667,0.04964904166755402,0.07951806549894896
3.3833,0.050355112980628225,0.07991014079145575
3.4,0.051055726195039175,0.08030457798331497
3.4167,0.05176349706299854,0.0806990151751742
3.4333,0.052478498177022215,0.08109109046768097
3.45,0.053174408950479424,0.08148552765954019
3.4667,0.053877169590851315,0.08187996485139941
3.4833,0.054573393935034686,0.08227204014390618
3.5,0.05526276168783728,0.0826664773357654
3.5167,0.05594495360869278,0.08306091452762464
3.5333,0.056647320543912305,0.08345298982013141
3.55,0.05732841691303325,0.08384742701199063
3.5667,0.05801572076516137,0.08424186420384985
3.5833,0.058695074453037344,0.08463393949635663
3.6,0.05939484427343822,0.08502837668821585
3.6167,0.06007205445381003,0.08542281388007507
3.6333,0.06075519835800047,0.08581488917258186
3.65,0.06144433251434578,0.08620932636444106
3.6667,0.062109808219418694,0.0866037635563003
3.6833,0.06279585581766711,0.08699583884880707
3.7,0.06345759751786995,0.08739027604066629
3.7167,0.0641247890301414,0.08778471323252551
3.7333,0.06481283345208755,0.08817678852503229
3.75,0.06547572362842347,0.08857122571689151
3.7667,0.06614396527884059,0.08896566290875074
3.7833,0.06680187990109221,0.08935773820125752
3.8,0.0674649937199121,0.08975217539311672
3.8167,0.06811737948655694,0.09014661258497596
3.8333,0.06877480984522999,0.09053868787748273
3.85,0.06943733033217991,0.09093312506934195
3.8667,0.07008864141598692,0.09132756226120117
3.8833,0.07074488502251647,0.09171963755370795
3.9,0.07138951394835685,0.09211407474556717
3.9167,0.07203891570867926,0.0925085119374264
3.9333,0.07267629737808268,0.09290058722993316
3.95,0.07331829028294529,0.0932950244217924
3.9667,0.07396493483361921,0.09368946161365162
3.9833,0.0745990711401141,0.09408153690615839
4.0,0.0752376948505109,0.09447597409801761
4.0167,0.07586340271708736,0.09487041128987683
4.0333,0.07649343217211324,0.09526248658238361
4.05,0.07712782027150417,0.09565692377424283
4.0667,0.07774880092009406,0.09605136096610206
4.0833,0.07837397206686281,0.09644343625860884
4.1,0.07898532756380572,0.09683787345046804
4.1167,0.07961886477567098,0.09723231064232728
4.1333,0.0802384160190951,0.09762438593483405
4.15,0.08084365607874577,0.09801882312669329
4.1667,0.08147129994123153,0.09841326031855249
4.1833,0.08208446030901567,0.09880533561105927
4.2,0.08268281218218543,0.0991997728029185
4.2167,0.08330378478148326,0.09959420999477772
4.2333,0.0839097747860238,0.09998628528728448
4.25,0.08451957189811748,0.10038072247914372
4.2667,0.08511397305895357,0.10077515967100294
4.2833,0.08571200566516973,0.1011672349635097
4.3,0.08633316990943429,0.10156167215536893
4.3167,0.08693867369995972,0.10195610934722815
4.3333,0.08752818864970913,0.10234818463973494
4.35,0.08812121720737759,0.10274262183159415
4.3667,0.08873773462987294,0.10313705902345337
4.3833,0.08933799505206697,0.10352913431596016
4.4,0.08992166898245996,0.10392357150781938
4.4167,0.09052903845786603,0.10431800869967858
4.4333,0.09111963996380212,0.10471008399218537
4.45,0.0917136879048519,0.10510452118404459
4.4667,0.0923112100549005,0.10549895837590383
4.4833,0.09291223458190556,0.10589103366841059
4.5,0.09351679005593377,0.10628547086026982
4.5167,0.09410387637978573,0.10667990805212904
4.5333,0.09469430780460636,0.1070719833446358
4.55,0.09528811115666574,0.10746642053649504
4.5667,0.09586392613992745,0.10786085772835426
4.5833,0.09646443248550252,0.10825293302086104
4.6,0.09704676274318713,0.10864737021272025
4.6167,0.09765408001589387,0.10904180740457947
4.6333,0.09824303109620841,0.10943388269708626
4.65,0.09881327811986684,0.10982831988894548
4.6667,0.09940871195657391,0.11022275708080469
4.6833,0.09998525118903773,0.11061483237331148
4.7,0.10056491399072592,0.1110092695651707
4.7167,0.10114772505228842,0.11140370675702993
4.7333,0.1017563109830979,0.11179578204953669
4.75,0.1023456175554574,0.11219021924139591
4.7667,0.10296100400428893,0.11258465643325515
4.7833,0.10353393307630138,0.1129767317257619
4.8,0.10413299463950154,0.11337116891762113
4.8167,0.1047121317284761,0.11376560610948036
4.8333,0.10529434861596876,0.11415768140198713
4.85,0.10587966986891761,0.11455211859384634
4.8667,0.10646812039926629,0.11494655578570558
4.8833,0.10705972547092485,0.11533863107821235
4.9,0.10765451070692234,0.11573306827007158
4.9167,0.10825250209674053,0.11612750546193079
4.9333,0.10882961464899954,0.11651958075443757
4.95,0.10940972994243425,0.1169140179462968
4.9667,0.11001723558969001,0.11730845513815602
4.9833,0.11060355632153007,0.1177005304306628
5.0,0.1111683338255518,0.11809496762252202
5.0167,0.11176070335355476,0.11848940481438124
5.0333,0.11233132392983125,0.11888148010688801
5.05,0.11292983958396219,0.11927591729874723
5.0667,0.11350639782291727,0.11967035449060646
5.0833,0.11408589701308514,0.12006242978311324
5.1,0.11466836078199855,0.12045686697497245
5.1167,0.11525381309139404,0.12085130416683168
5.1333,0.11581662982062879,0.12124337945933845
5.15,0.1163822246662366,0.12163781665119769
5.1667,0.11697652250644602,0.1220322538430569
5.1833,0.11754786828904962,0.12242432913556367
5.2,0.11812205972211803,0.1228187663274229
5.2167,0.11869911961050972,0.12321320351928212
5.2333,0.11925264658948759,0.12360527881178889
5.25,0.11983538008144806,0.12399971600364812
5.2667,0.12039436582037316,0.12439415319550734
5.2833,0.12098286374660011,0.1247862284880141
5.3,0.12154739616444271,0.12518066567987332
5.3167,0.12211467013096183,0.12557510287173257
5.3333,0.12271192145543564,0.12596717816423933
5.35,0.1232848776330362,0.12636161535609855
5.3667,0.12386064296657873,0.12675605254795777
5.3833,0.12443924027843695,0.12714812784046456
5.4,0.12499293941873102,0.12754256503232378
5.4167,0.1255492485188418,0.127937002224183
5.4333,0.12613620454048957,0.12832907751668976
5.45,0.12669792863703028,0.128723514708549
5.4667,0.127262326290068,0.12911795190040823
5.4833,0.12782941894406147,0.129510027192915
5.5,0.12837067301418875,0.1299044643847742
5.5167,0.12894308375203445,0.13029890157663343
5.5333,0.12951825453978144,0.13069097686914022
5.55,0.1300672439352087,0.13108541406099944
5.5667,0.13061876445620318,0.13147985125285866
5.5833,0.13117283609213548,0.13187192654536545
5.6,0.1317588477288834,0.13226636373722464
5.6167,0.1323182196722556,0.1326608009290839
5.6333,0.13288020549345841,0.13305287622159065
5.65,0.13344482634309834,0.1334473134134499
5.6667,0.13401210367311528,0.1338417506053091
5.6833,0.13458205924294764,0.13423382589781588
5.7,0.13512450766072026,0.1346282630896751
5.7167,0.13569974238645877,0.13502270028153432
5.7333,0.1362472326038856,0.13541477557404108
5.75,0.1367972053580302,0.13580921276590033
5.7667,0.13734968050279828,0.13620364995775955
5.7833,0.13790467817164043,0.1365957252502663
5.8,0.13846221878320703,0.13699016244212553
5.8167,0.139022323047155,0.13738459963398475
5.8333,0.1395850119701108,0.13777667492649154
5.85,0.1401503068617896,0.13817111211835076
5.8667,0.14071822934128142,0.13856554931020998
5.8833,0.14125703301286158,0.13895762460271677
