Time (min),Temperature (C),TG (mg),Mass Percentage,Conversion
1.0334,61.99,8.7152,99.5306236652467,0.026173342673375
1.05,62.79,8.714,99.5169192467138,0.026937527860918
1.0667,63.21,8.7127,99.5020727933031,0.027765395147424
1.0834,63.64,8.7114,99.4872263398924,0.02859326243393
1.1,63.94,8.71,99.471237851604,0.029484811819397
1.1167,64.15,8.7085,99.4541073284378,0.030440043303827
1.1334,64.8,8.7069,99.4358347703939,0.031458956887218
1.15,65.22,8.7052,99.4164201774722,0.032541552569573
1.1667,65.91,8.7035,99.3970055845506,0.033624148251926
1.1834,66.38,8.7016,99.3753069218734,0.034834108132204
1.2,66.62,8.6996,99.3524662243185,0.036107750111443
1.2167,66.76,8.6976,99.3296255267636,0.037381392090683
1.2334,67.43,8.6955,99.3056427943309,0.038718716168885
1.25,68.1,8.6932,99.2793759921428,0.04018340444501
1.2667,68.41,8.6909,99.2531091899547,0.041648092721136
1.2834,68.66,8.6885,99.2257003528888,0.043176463096224
1.3,69.13,8.6859,99.1960074460674,0.044832197669235
1.3167,69.82,8.6832,99.1651725043683,0.046551614341209
1.3334,70,8.6803,99.1320534929137,0.048398395211105
1.35,70.11,8.6774,99.0989344814591,0.050245176081003
1.3667,70.87,8.6743,99.063531400249,0.052219321148825
1.3834,71.11,8.671,99.0258442492834,0.054320830414571
1.4,71.6,8.6676,98.98701506344,0.056486021779278
1.4167,72.21,8.6639,98.9447597729635,0.058842259440871
1.4334,72.77,8.6601,98.9013624476092,0.061262179201426
1.45,72.91,8.6562,98.8568230873771,0.063745781060943
1.4667,73.36,8.6521,98.8099996573896,0.066356747118384
1.4834,73.82,8.6478,98.7608921576465,0.06909507737375
1.5,74.49,8.6433,98.709500588148,0.071960771827039
1.5167,74.87,8.6387,98.6569669837717,0.07489014837929
1.5334,75.46,8.6339,98.6021493096399,0.077946889129465
1.55,75.64,8.629,98.5461896006304,0.081067311978603
1.5667,75.98,8.624,98.4890878567432,0.084251416926701
1.5834,76.84,8.6187,98.4285600082227,0.087626568171686
1.6,76.86,8.6132,98.3657480899467,0.091129083614595
1.6167,77.48,8.6076,98.3017941367929,0.094695281156467
1.6334,77.7,8.6019,98.2366981487615,0.098325160797299
1.65,78.49,8.596,98.1693180909745,0.102082404636056
1.6667,78.52,8.59,98.1007959983098,0.105903330573776
1.6834,78.96,8.5839,98.0311318707673,0.109787938610456
1.7,79.22,8.5776,97.9591836734694,0.113799910845061
1.7167,79.8,8.5712,97.8860934412937,0.117875565178628
1.7334,80.01,8.5646,97.8107191393625,0.122078583710119
1.75,80.14,8.5579,97.7342028025536,0.126345284340572
1.7667,80.56,8.5512,97.6576864657447,0.130611984971025
1.7834,80.49,8.5443,97.5788860591802,0.135006049799401
1.8,80.45,8.5373,97.4989436177381,0.13946379672674
1.8167,80.71,8.5302,97.4178591414182,0.14398522575304
1.8334,80.59,8.5231,97.3367746650983,0.148506654779342
1.85,80.88,8.5159,97.2545481539006,0.153091765904604
1.8667,80.97,8.5086,97.1711796078252,0.157740559128829
1.8834,80.9,8.5013,97.0878110617499,0.162389352353053
1.9,81.21,8.4939,97.0033004807967,0.16710182767624
1.9167,81.02,8.4865,96.9187898998436,0.171814302999427
1.9334,81.08,8.4789,96.8319952491349,0.176654142520538
1.95,81.23,8.4714,96.746342633304,0.181430299942686
1.9667,80.89,8.4639,96.6606900174731,0.186206457364834
1.9834,81.16,8.4563,96.5738953667645,0.191046296885945
2,81.35,8.4487,96.4871007160559,0.195886136407055
2.0167,81.5,8.4411,96.4003060653472,0.200725975928166
2.0334,81.49,8.4335,96.3135114146386,0.205565815449277
2.05,81.76,8.4258,96.2255747290523,0.210469337069349
2.0667,81.77,8.4183,96.1399221132213,0.215245494491498
2.0834,81.99,8.4107,96.0531274625127,0.220085334012609
2.1,81.87,8.4032,95.9674748466818,0.224861491434757
2.1167,81.79,8.3956,95.8806801959732,0.229701330955868
2.1334,81.53,8.3882,95.79616961502,0.234413806279055
2.15,81.51,8.3808,95.7116590340669,0.239126281602241
2.1667,81.89,8.3735,95.6282904879915,0.243775074826466
2.1834,81.7,8.3661,95.5437799070384,0.248487550149653
2.2,81.85,8.3588,95.460411360963,0.253136343373877
2.2167,81.91,8.3516,95.3781848497653,0.25772145449914
2.2334,81.84,8.3443,95.2948163036899,0.262370247723364
2.25,81.81,8.3371,95.2125897924923,0.266955358848628
2.2667,81.74,8.3299,95.1303632812946,0.27154046997389
2.2834,81.94,8.3228,95.0492788049747,0.27606189900019
2.3,81.77,8.3156,94.9670522937771,0.280647010125454
2.3167,81.8,8.3085,94.8859678174572,0.285168439151754
2.3334,81.96,8.3015,94.806025376015,0.289626186079092
2.35,81.84,8.2944,94.7249408996951,0.294147615105394
2.3667,81.91,8.2875,94.6461404931307,0.298541679933771
