Time (min),Temperature (C),TG (mg),Mass Percentage,Conversion
0,61.97,6.05120096111062,100,0
0.0510851,62.02,6.04988041599433,99.998,0.001219113652155
0.0991046,62.97,6.04922011075197,99.9975,0.001828700651962
0.158205,63.38,6.04888995862601,99.9961,0.002133493694684
0.217306,63.89,6.04756941450015,99.9947,0.003352606432484
0.277331,64.65,6.04492825988958,99.9918,0.00579089316989
0.348436,64.66,6.04294734614337,99.9817,0.007619652340594
0.424159,65.35,6.04063634365877,99.9717,0.009753146035269
0.501729,65.56,6.03898564641651,99.9573,0.011277052730155
0.571911,66.34,6.0370047970483,99.9443,0.013105752467753
0.646711,66.35,6.03568418755401,99.9285,0.014324925553013
0.706292,66.73,6.03403349031176,99.9074,0.01584883224789
0.752354,67.29,6.03205264094355,99.889,0.017677531985488
0.795537,67.6,6.02974163944937,99.8645,0.019811024765817
0.843039,68.06,6.02677033271284,99.8462,0.022554104545945
0.889101,68.27,6.02445933121866,99.8217,0.024687597326274
0.939482,69.43,6.02181817660809,99.7849,0.027125884063681
0.988423,69.37,6.01950717511391,99.7359,0.02925937684401
1.03305,69.94,6.01752632475527,99.6869,0.031088077495962
1.08487,70.46,6.01554547538705,99.6257,0.03291677723357
1.13525,70.79,6.01224401652456,99.5706,0.035964650056419
1.17843,71.09,6.00795216566216,99.5093,0.039926842574356
1.21873,71.92,6.00366031380934,99.4481,0.043889036006638
1.2648,71.95,6.00035885494685,99.3685,0.046936908829488
1.30798,72.65,5.9977177013267,99.2827,0.049375194652549
1.35404,72.93,5.99573685096806,99.2092,0.051203895304502
1.38859,73.65,5.99243539210557,99.1235,0.054251768127351
1.42314,73.69,5.98814354124317,99.0439,0.058213960645287
1.45912,74.51,5.98286123301246,98.952,0.063090533205745
1.48791,74.83,5.97856938115964,98.8785,0.067052726638027
1.52102,75.1,5.97526792229714,98.7744,0.070100599460886
1.54837,75.69,5.97163637568667,98.7009,0.073453205893369
1.57284,75.93,5.96833491682418,98.6274,0.076501078716219
1.60307,76.26,5.96338276071943,98.5417,0.081072858233955
1.62754,76.53,5.95843060461469,98.4559,0.085644637751681
1.65057,77.07,5.95347844850993,98.3824,0.090216417269425
1.67072,77.29,5.94852629240518,98.3028,0.09478819678716
1.68799,77.68,5.9439042884264,98.2232,0.099055183262164
1.70959,78.07,5.93829189244772,98.1314,0.104236489432246
1.73,77.96,5.93267943209104,98.04135526516,0.109417855035434
1.746667,77.86,5.92706697074394,97.94860572034,0.114599221552967
1.763334,77.77,5.9221148146392,97.86676814568,0.119171001070693
1.78,78.23,5.91716265853445,97.78493057101,0.123742780588429
1.796667,78.42,5.9122105024297,97.70309299635,0.128314560106164
1.813334,78.18,5.90659810645102,97.61034453179,0.133495866276245
1.83,78.32,5.9013157982203,97.52305098023,0.138372438836712
1.846667,78.66,5.8957033368732,97.43030143542,0.143553805354246
1.863334,78.58,5.89075118076845,97.34846386076,0.148125584871981
1.88,78.73,5.88480863266381,97.25025941931,0.153611684084785
1.896667,78.78,5.88018662868502,97.17387782153,0.157878670559798
1.913334,78.44,5.87457416832835,97.08112829309,0.163060036162977
1.93,78.92,5.8696220122236,96.99929071842,0.167631815680712
1.946667,78.77,5.86466985611885,96.91745314376,0.172203595198448
1.963334,79.23,5.85938754788814,96.8301595922,0.177080167758904
1.98,79.08,5.85509569603532,96.75923397131,0.181042361191186
1.996667,79.24,5.84948323567865,96.66648444287,0.186223726794365
2.013334,79.3,5.84420099182593,96.5791919552,0.191100239921726
2.03,79.17,5.83891868359522,96.49189840364,0.195976812482182
2.046667,79.34,5.83363637437408,96.40460483572,0.200853385956994
2.063334,79.45,5.82901437138572,96.32822325431,0.205120371517653
2.08,79.57,5.82373206216458,96.24092968639,0.209996944992465
2.096667,79.3,5.81811960180791,96.14818015794,0.215178310595644
2.113334,79.09,5.81316744570316,96.06634258328,0.219750090113379
2.13,79.29,5.80689474448212,95.96268214858,0.225540983283268
2.146667,79.15,5.80194258837737,95.88084457391,0.230112762801003
2.163334,79.4,5.7963301280207,95.78809504546,0.235294128404183
2.18,79.35,5.79269858141023,95.72808139472,0.238646734836666
2.196667,79.72,5.78807657743144,95.65169979695,0.24291372131168
2.213334,79.66,5.78411481431703,95.58622910543,0.246571180219973
2.23,79.5,5.77949281033824,95.50984750765,0.250838166694986
2.246667,79.65,5.77487080635946,95.43346590987,0.25510515316999
2.263334,79.56,5.76991865025471,95.35162833521,0.259676932687725
2.28,79.67,5.76496649414996,95.26979076054,0.26424871220546
2.296667,79.62,5.76067464328756,95.19886515602,0.268210904723397
2.313334,79.36,5.75605263930878,95.12248355824,0.272477891198402
2.33,79.93,5.75143063532999,95.04610196047,0.276744877673414
2.346667,79.51,5.74614832709928,94.95880840891,0.281621450233872
2.363334,79.62,5.74086601886857,94.87151485736,0.286498022794329
2.38,79.52,5.73558370964743,94.78422128943,0.291374596269141
2.396667,79.38,5.73195216303697,94.72420763869,0.294727202701615
