Time (min),Temperature (C),TG (mg),Temperature (Celsius),Exp. Repetition,Lifting,Material
14.3,69.4,9.264,,,,
14.333333,69.72,9.263,,,,
14.366667,69.7,9.264,,,,
14.4,69.79,9.263,,,,
14.433333,69.66,9.262,,,,
14.466667,69.75,9.262,,,,
14.5,69.67,9.262,,,,
14.533333,69.56,9.261,,,,
14.566667,69.72,9.261,,,,
14.6,69.79,9.263,,,,
14.633333,69.71,9.262,,,,
14.666667,70.04,9.263,,,,
14.7,69.65,9.259,,,,
14.733333,69.59,9.26,,,,
14.766667,69.97,9.26,,,,
14.8,69.3,9.256,,,,
14.833333,69.79,9.256,,,,
14.866667,69.56,9.254,,,,
14.9,70.02,9.256,,,,
14.933333,69.63,9.257,,,,
14.966667,70.02,9.254,,,,
15,69.97,9.252,,,,
15.033333,69.89,9.248,,,,
15.066667,69.93,9.248,,,,
15.1,69.81,9.245,,,,
15.133333,69.91,9.245,,,,
15.166667,69.84,9.244,,,,
15.2,69.89,9.246,,,,
15.233333,69.55,9.243,,,,
15.266667,69.92,9.242,,,,
15.3,69.67,9.239,,,,
15.333333,70.4,9.24,,,,
15.366667,69.71,9.235,,,,
15.4,69.89,9.234,,,,
15.433333,69.59,9.234,,,,
15.466667,69.8,9.23,,,,
15.5,69.74,9.231,,,,
15.533333,69.76,9.231,,,,
15.566667,69.8,9.229,,,,
15.6,69.99,9.233,,,,
15.633333,69.66,9.228,,,,
15.666667,69.8,9.23,,,,
15.7,69.69,9.228,,,,
15.733333,69.55,9.225,,,,
15.766667,69.54,9.225,,,,
15.8,69.78,9.225,,,,
15.833333,69.43,9.223,,,,
15.866667,69.67,9.222,,,,
15.9,69.79,9.222,,,,
15.933333,69.78,9.221,,,,
15.966667,69.66,9.22,,,,
16,69.79,9.219,,,,
16.033333,69.55,9.218,,,,
16.066667,69.68,9.218,,,,
16.1,69.75,9.218,,,,
16.133333,69.69,9.217,,,,
16.166667,69.5,9.218,,,,
16.2,69.6,9.212,,,,
16.233333,69.57,9.215,,,,
16.266667,69.68,9.215,,,,
16.3,69.85,9.219,,,,
16.333333,69.85,9.215,,,,
16.366667,69.85,9.214,,,,
16.4,69.53,9.213,,,,
16.433333,69.69,9.213,,,,
16.466667,69.81,9.212,,,,
16.5,69.8,9.212,,,,
16.533333,69.62,9.213,,,,
16.566667,69.75,9.211,,,,
16.6,69.96,9.212,,,,
16.633333,70.01,9.211,,,,
16.666667,69.95,9.209,,,,
16.7,70.03,9.211,,,,
16.733333,69.9,9.212,,,,
16.766667,69.84,9.209,,,,
16.8,69.66,9.21,,,,
16.833333,69.23,9.208,,,,
16.866667,69.66,9.209,,,,
16.9,69.7,9.209,,,,
16.933333,69.63,9.208,,,,
16.966667,69.98,9.209,,,,
17,69.55,9.206,,,,
17.033333,69.82,9.206,,,,
17.066667,69.8,9.206,,,,
17.1,69.69,9.206,,,,
17.133333,69.7,9.206,,,,
17.166667,69.71,9.206,,,,
17.2,69.44,9.204,,,,
17.233333,69.7,9.205,,,,
17.266667,69.57,9.202,,,,
17.3,69.83,9.204,,,,
17.333333,69.81,9.205,,,,
17.366667,69.77,9.203,,,,
17.4,69.46,9.204,,,,
17.433333,69.7,9.204,,,,
17.466667,70.18,9.204,,,,
17.5,69.89,9.203,,,,
17.533333,69.55,9.202,,,,
17.566667,69.84,9.203,,,,
17.6,69.83,9.203,,,,
17.633333,69.72,9.202,,,,
17.666667,69.53,9.201,,,,
17.7,69.45,9.201,,,,
17.733333,69.32,9.201,,,,
17.766667,69.8,9.203,,,,
17.8,69.64,9.202,,,,
17.833333,69.76,9.203,,,,
17.866667,69.54,9.203,,,,
17.9,69.53,9.201,,,,
17.933333,69.58,9.199,,,,
17.966667,69.54,9.199,,,,
18,69.76,9.199,,,,
18.033333,69.66,9.194,,,,
18.066667,69.94,9.195,,,,
18.1,69.84,9.196,,,,
18.133333,69.8,9.193,,,,
18.166667,69.36,9.19,,,,
18.2,69.42,9.19,,,,
18.233333,69.71,9.191,,,,
18.266667,69.77,9.192,,,,
18.3,69.65,9.19,,,,
18.333333,69.6,9.191,,,,
18.366667,70.06,9.19,,,,
18.4,69.79,9.188,,,,
18.433333,69.71,9.187,,,,
18.466667,69.72,9.188,,,,
18.5,69.96,9.188,,,,
18.533333,69.62,9.188,,,,
18.566667,69.97,9.186,,,,
18.6,69.91,9.187,,,,
18.633333,69.54,9.186,,,,
18.666667,69.81,9.186,,,,
18.7,69.53,9.187,,,,
18.733333,69.77,9.186,,,,
18.766667,69.83,9.185,,,,
18.8,69.78,9.184,,,,
18.833333,70.22,9.184,,,,
18.866667,69.66,9.181,,,,
18.9,69.8,9.185,,,,
18.933333,69.91,9.183,,,,
18.966667,69.84,9.182,,,,
19,69.96,9.184,,,,
19.033333,69.83,9.183,,,,
19.066667,69.78,9.182,,,,
19.1,69.84,9.183,,,,
19.133333,69.61,9.182,,,,
19.166667,69.68,9.18,,,,
19.2,69.62,9.178,,,,
19.233333,69.6,9.179,,,,
19.266667,69.46,9.177,,,,
19.3,69.99,9.178,,,,
19.333333,69.96,9.177,,,,
19.366667,70.06,9.179,,,,
19.4,69.89,9.177,,,,
19.433333,69.97,9.178,,,,
19.466667,69.28,9.176,,,,
19.5,69.88,9.177,,,,
19.533333,69.75,9.178,,,,
19.566667,69.95,9.176,,,,
19.6,69.87,9.176,,,,
19.633333,69.89,9.175,,,,
19.666667,69.69,9.173,,,,
19.7,69.83,9.173,,,,
19.733333,69.84,9.172,,,,
19.766667,69.79,9.172,,,,
19.8,69.85,9.172,,,,
19.833333,69.8,9.173,,,,
19.866667,70,9.174,,,,
19.9,70,9.173,,,,
19.933333,70.06,9.174,,,,
19.966667,69.86,9.174,,,,
20,69.5,9.17,,,,
20.033333,69.94,9.171,,,,
20.066667,69.45,9.168,,,,
20.1,69.59,9.169,,,,
20.133333,70.2,9.166,,,,
20.166667,69.36,9.169,,,,
20.2,69.51,9.166,,,,
20.233333,69.76,9.168,,,,
20.266667,69.7,9.166,,,,
20.3,69.61,9.165,,,,
20.333333,69.76,9.165,,,,
20.366667,69.68,9.164,,,,
20.4,70.06,9.166,,,,
20.433333,69.82,9.165,,,,
20.466667,70.08,9.169,,,,
20.5,69.83,9.165,,,,
20.533333,69.88,9.166,,,,
20.566667,69.94,9.166,,,,
20.6,70.12,9.167,,,,
20.633333,70.24,9.165,,,,
20.666667,69.71,9.161,,,,
20.7,69.71,9.165,,,,
20.733333,69.79,9.166,,,,
20.766667,69.73,9.163,,,,
20.8,69.81,9.161,,,,
20.833333,69.7,9.159,,,,
20.866667,69.8,9.16,,,,
20.9,69.88,9.159,,,,
20.933333,69.78,9.158,,,,
20.966667,69.83,9.16,,,,
21,69.91,9.158,,,,
21.033333,69.99,9.158,,,,
21.066667,69.8,9.154,,,,
21.1,69.93,9.155,,,,
21.133333,69.59,9.154,,,,
21.166667,69.95,9.156,,,,
21.2,69.75,9.155,,,,
21.233333,69.89,9.155,,,,
21.266667,69.86,9.153,,,,
21.3,69.81,9.154,,,,
21.333333,69.75,9.152,,,,
21.366667,69.68,9.151,,,,
21.4,69.93,9.154,,,,
21.433333,69.7,9.15,,,,
21.466667,69.81,9.151,,,,
21.5,69.89,9.152,,,,
21.533333,69.7,9.152,,,,
21.566667,69.72,9.152,,,,
21.6,69.54,9.149,,,,
21.633333,70.01,9.153,,,,
21.666667,69.68,9.149,,,,
21.7,69.67,9.149,,,,
21.733333,69.64,9.148,,,,
21.766667,69.74,9.149,,,,
21.8,69.48,9.146,,,,
21.833333,69.71,9.148,,,,
21.866667,69.91,9.147,,,,
21.9,69.59,9.146,,,,
21.933333,69.86,9.147,,,,
21.966667,69.82,9.147,,,,
22,70,9.145,,,,
22.033333,69.58,9.144,,,,
22.066667,69.69,9.143,,,,
22.1,69.62,9.143,,,,
22.133333,70.32,9.144,,,,
22.166667,70.09,9.145,,,,
22.2,69.66,9.142,,,,
22.233333,69.76,9.142,,,,
22.266667,69.76,9.142,,,,
22.3,69.7,9.142,,,,
22.333333,69.86,9.142,,,,
22.366667,69.84,9.142,,,,
22.4,69.9,9.14,,,,
22.433333,69.67,9.139,,,,
22.466667,69.79,9.138,,,,
22.5,69.63,9.139,,,,
22.533333,69.51,9.138,,,,
22.566667,69.47,9.138,,,,
22.6,69.59,9.139,,,,
22.633333,69.84,9.139,,,,
22.666667,69.99,9.139,,,,
22.7,69.8,9.138,,,,
22.733333,69.3,9.137,,,,
22.766667,69.96,9.138,,,,
22.8,70.09,9.137,,,,
22.833333,69.91,9.136,,,,
22.866667,69.8,9.133,,,,
22.9,69.73,9.134,,,,
22.933333,69.72,9.134,,,,
22.966667,69.82,9.132,,,,
23,69.8,9.134,,,,
23.033333,69.78,9.132,,,,
23.066667,69.89,9.134,,,,
23.1,69.54,9.133,,,,
23.133333,69.83,9.132,,,,
23.166667,69.81,9.129,,,,
23.2,70.12,9.13,,,,
23.233333,69.71,9.129,,,,
23.266667,69.88,9.13,,,,
23.3,69.64,9.131,,,,
23.333333,69.75,9.128,,,,
23.366667,69.98,9.129,,,,
23.4,70.14,9.13,,,,
23.433333,69.89,9.129,,,,
23.466667,69.89,9.129,,,,
23.5,69.79,9.127,,,,
23.533333,69.69,9.127,,,,
23.566667,69.71,9.125,,,,
23.6,69.82,9.126,,,,
23.633333,69.69,9.123,,,,
23.666667,69.9,9.125,,,,
23.7,69.91,9.123,,,,
23.733333,70.04,9.127,,,,
23.766667,69.85,9.121,,,,
23.8,69.7,9.124,,,,
23.833333,69.92,9.12,,,,
23.866667,69.67,9.122,,,,
23.9,69.83,9.12,,,,
23.933333,69.67,9.118,,,,
23.966667,69.9,9.12,,,,
24,69.7,9.118,,,,
24.033333,69.69,9.117,,,,
24.066667,70.05,9.115,,,,
24.1,69.98,9.116,,,,
24.133333,69.85,9.116,,,,
24.166667,69.74,9.116,,,,
24.2,69.8,9.115,,,,
24.233333,69.99,9.114,,,,
24.266667,69.82,9.111,,,,
24.3,69.97,9.114,,,,
24.333333,69.81,9.114,,,,
24.366667,69.84,9.112,,,,
24.4,70.33,9.112,,,,
24.433333,69.67,9.111,,,,
24.466667,70.03,9.114,,,,
24.5,69.91,9.11,,,,
24.533333,69.85,9.107,,,,
24.566667,70.14,9.111,,,,
24.6,70.16,9.11,,,,
24.633333,70.08,9.108,,,,
24.666667,69.99,9.106,,,,
24.7,69.96,9.109,,,,
24.733333,70.22,9.11,,,,
24.766667,70.1,9.107,,,,
24.8,69.92,9.106,,,,
24.833333,69.78,9.105,,,,
24.866667,69.86,9.106,,,,
24.9,69.85,9.104,,,,
24.933333,69.79,9.102,,,,
24.966667,70.15,9.104,,,,
25,69.93,9.104,,,,
25.033333,70,9.103,,,,
25.066667,70.23,9.104,,,,
25.1,69.85,9.1,,,,
25.133333,70.1,9.103,,,,
25.166667,69.78,9.101,,,,
25.2,70.08,9.104,,,,
25.233333,69.88,9.1,,,,
25.266667,69.85,9.1,,,,
25.3,69.77,9.098,,,,
25.333333,70.06,9.098,,,,
25.366667,69.95,9.099,,,,
25.4,70,9.097,,,,
25.433333,69.85,9.097,,,,
25.466667,69.97,9.096,,,,
25.5,70.01,9.095,,,,
25.533333,69.68,9.093,,,,
25.566667,69.93,9.094,,,,
25.6,69.63,9.093,,,,
25.633333,70.05,9.092,,,,
25.666667,69.91,9.091,,,,
25.7,70.03,9.092,,,,
25.733333,70.06,9.092,,,,
25.766667,69.82,9.092,,,,
25.8,69.73,9.089,,,,
25.833333,69.95,9.089,,,,
25.866667,69.93,9.091,,,,
25.9,69.99,9.09,,,,
25.933333,69.99,9.09,,,,
25.966667,69.6,9.089,,,,
26,69.64,9.087,,,,
26.033333,70.02,9.087,,,,
26.066667,69.85,9.087,,,,
26.1,69.86,9.087,,,,
26.133333,69.88,9.087,,,,
26.166667,70.02,9.086,,,,
26.2,69.86,9.086,,,,
26.233333,69.9,9.085,,,,
26.266667,69.85,9.085,,,,
26.3,69.71,9.084,,,,
26.333333,69.84,9.083,,,,
26.366667,70.04,9.082,,,,
26.4,70.08,9.083,,,,
26.433333,70.17,9.083,,,,
26.466667,69.81,9.081,,,,
26.5,69.81,9.081,,,,
26.533333,69.91,9.082,,,,
26.566667,69.95,9.078,,,,
26.6,69.95,9.081,,,,
26.633333,69.78,9.076,,,,
26.666667,69.98,9.08,,,,
26.7,70.06,9.077,,,,
26.733333,69.93,9.077,,,,
26.766667,69.97,9.077,,,,
26.8,69.88,9.076,,,,
26.833333,69.92,9.074,,,,
26.866667,69.95,9.076,,,,
26.9,70.2,9.076,,,,
26.933333,70.16,9.075,,,,
26.966667,69.86,9.074,,,,
27,69.89,9.074,,,,
27.033333,69.95,9.076,,,,
27.066667,69.82,9.07,,,,
27.1,69.86,9.071,,,,
27.133333,69.98,9.071,,,,
27.166667,69.88,9.068,,,,
27.2,69.79,9.07,,,,
27.233333,69.9,9.069,,,,
27.266667,69.86,9.07,,,,
27.3,69.86,9.066,,,,
27.333333,69.69,9.068,,,,
27.366667,69.91,9.067,,,,
27.4,69.85,9.066,,,,
27.433333,69.67,9.066,,,,
27.466667,69.95,9.065,,,,
27.5,69.97,9.066,,,,
27.533333,69.9,9.066,,,,
27.566667,69.76,9.065,,,,
27.6,69.98,9.064,,,,
27.633333,69.98,9.065,,,,
27.666667,69.87,9.063,,,,
27.7,70.07,9.065,,,,
27.733333,70.16,9.065,,,,
27.766667,69.56,9.06,,,,
27.8,69.97,9.062,,,,
27.833333,70.03,9.061,,,,
27.866667,69.63,9.06,,,,
27.9,70.03,9.06,,,,
27.933333,69.44,9.06,,,,
27.966667,69.82,9.061,,,,
28,69.94,9.06,,,,
28.033333,70.01,9.061,,,,
28.066667,69.83,9.056,,,,
28.1,69.88,9.058,,,,
28.133333,69.82,9.058,,,,
28.166667,69.75,9.057,,,,
28.2,70.02,9.057,,,,
28.233333,70.04,9.057,,,,
28.266667,69.91,9.057,,,,
28.3,70.05,9.057,,,,
28.333333,69.74,9.054,,,,
28.366667,69.97,9.055,,,,
28.4,69.75,9.055,,,,
28.433333,69.66,9.051,,,,
28.466667,69.99,9.055,,,,
28.5,70.35,9.051,,,,
28.533333,69.99,9.052,,,,
28.566667,70.06,9.054,,,,
28.6,70.28,9.054,,,,
28.633333,69.88,9.05,,,,
28.666667,70.11,9.05,,,,
28.7,70.03,9.05,,,,
28.733333,69.87,9.048,,,,
28.766667,69.86,9.048,,,,
28.8,69.81,9.047,,,,
28.833333,69.75,9.046,,,,
28.866667,70.06,9.048,,,,
28.9,70.25,9.045,,,,
28.933333,69.86,9.046,,,,
28.966667,69.65,9.044,,,,
29,70.27,9.047,,,,
29.033333,70.3,9.045,,,,
29.066667,70.22,9.045,,,,
29.1,70,9.042,,,,
29.133333,70.05,9.043,,,,
29.166667,70.1,9.044,,,,
29.2,70.08,9.042,,,,
29.233333,70.03,9.04,,,,
29.266667,69.9,9.04,,,,
29.3,70.1,9.042,,,,
29.333333,70.04,9.039,,,,
29.366667,69.99,9.039,,,,
29.4,69.82,9.038,,,,
29.433333,69.82,9.037,,,,
29.466667,69.78,9.036,,,,
29.5,70,9.037,,,,
29.533333,69.85,9.037,,,,
29.566667,70,9.038,,,,
29.6,70.13,9.04,,,,
29.633333,69.95,9.035,,,,
29.666667,69.83,9.036,,,,
