Time (min),Temperature (C),TG (mg),Temperature (Celsius),Exp. Repetition,Lifting,Material
1.766667,69.01,9.358,70,1,YES,m-xylene solvate of Ibrutinib
1.8,68.69,9.357,,,,
1.833333,69.32,9.359,,,,
1.866667,69.21,9.358,,,,
1.9,69.56,9.358,,,,
1.933333,69.13,9.358,,,,
1.966667,69.58,9.356,,,,
2,69.45,9.355,,,,
2.033333,69.94,9.358,,,,
2.066667,69.85,9.353,,,,
2.1,69.59,9.356,,,,
2.133333,69.59,9.356,,,,
2.166667,69.78,9.354,,,,
2.2,69.63,9.353,,,,
2.233333,69.65,9.353,,,,
2.266667,69.51,9.353,,,,
2.3,69.58,9.351,,,,
2.333333,69.13,9.35,,,,
2.366667,69.37,9.35,,,,
2.4,69.38,9.352,,,,
2.433333,68.75,9.351,,,,
2.466667,69.06,9.352,,,,
2.5,69.37,9.351,,,,
2.533333,69.16,9.351,,,,
2.566667,69.4,9.351,,,,
2.6,69.41,9.35,,,,
2.633333,69.3,9.351,,,,
2.666667,69.04,9.348,,,,
2.7,69.18,9.349,,,,
2.733333,69.09,9.349,,,,
2.766667,69.35,9.351,,,,
2.8,69.29,9.35,,,,
2.833333,69,9.35,,,,
2.866667,69.06,9.348,,,,
2.9,68.89,9.349,,,,
2.933333,69.08,9.349,,,,
2.966667,68.75,9.349,,,,
3,69.17,9.349,,,,
3.033333,68.82,9.348,,,,
3.066667,69.31,9.345,,,,
3.1,69.55,9.347,,,,
3.133333,69.16,9.349,,,,
3.166667,69.23,9.347,,,,
3.2,69.36,9.35,,,,
3.233333,69.51,9.347,,,,
3.266667,69.43,9.345,,,,
3.3,69.07,9.347,,,,
3.333333,69.11,9.353,,,,
3.366667,69.39,9.348,,,,
3.4,69.25,9.348,,,,
3.433333,69.25,9.346,,,,
3.466667,69.24,9.348,,,,
3.5,69,9.348,,,,
3.533333,69,9.347,,,,
3.566667,69.02,9.346,,,,
3.6,69.45,9.346,,,,
3.633333,69.4,9.347,,,,
3.666667,69.12,9.348,,,,
3.7,69.37,9.349,,,,
3.733333,69.28,9.348,,,,
3.766667,69.32,9.343,,,,
3.8,68.79,9.343,,,,
3.833333,69.31,9.339,,,,
3.866667,69.2,9.34,,,,
3.9,69.28,9.34,,,,
3.933333,69.27,9.342,,,,
3.966667,69.22,9.338,,,,
4,69.05,9.336,,,,
4.033333,69.08,9.336,,,,
4.066667,69.23,9.335,,,,
4.1,69.1,9.336,,,,
4.133333,69.14,9.334,,,,
4.166667,68.7,9.335,,,,
4.2,69.27,9.334,,,,
4.233333,69.15,9.333,,,,
4.266667,69.01,9.335,,,,
4.3,68.76,9.333,,,,
4.333333,69.24,9.332,,,,
4.366667,69.38,9.335,,,,
4.4,69.35,9.333,,,,
4.433333,69.82,9.331,,,,
4.466667,68.98,9.332,,,,
4.5,69.29,9.331,,,,
4.533333,68.97,9.33,,,,
4.566667,69.23,9.33,,,,
4.6,69.23,9.332,,,,
4.633333,68.91,9.328,,,,
4.666667,69.05,9.329,,,,
4.7,69.2,9.329,,,,
4.733333,69.41,9.328,,,,
4.766667,69.21,9.326,,,,
4.8,69.49,9.328,,,,
4.833333,69.18,9.327,,,,
4.866667,69.11,9.328,,,,
4.9,69.16,9.33,,,,
4.933333,69.38,9.326,,,,
4.966667,69.45,9.327,,,,
5,69.29,9.325,,,,
5.033333,69.19,9.328,,,,
5.066667,69.47,9.323,,,,
5.1,69.27,9.327,,,,
5.133333,69.33,9.324,,,,
5.166667,69.48,9.322,,,,
5.2,69.25,9.325,,,,
5.233333,69.3,9.325,,,,
5.266667,69.07,9.322,,,,
5.3,69.41,9.323,,,,
5.333333,69.09,9.324,,,,
5.366667,69.27,9.322,,,,
5.4,69.21,9.322,,,,
5.433333,69.38,9.322,,,,
5.466667,69.2,9.324,,,,
5.5,69.53,9.322,,,,
5.533333,69.44,9.321,,,,
5.566667,69.24,9.321,,,,
5.6,69.5,9.319,,,,
5.633333,69.19,9.323,,,,
5.666667,69.14,9.322,,,,
5.7,68.89,9.317,,,,
5.733333,69.34,9.32,,,,
5.766667,69.36,9.318,,,,
5.8,69.04,9.319,,,,
5.833333,69.43,9.317,,,,
5.866667,69.34,9.318,,,,
5.9,69.19,9.318,,,,
5.933333,69.33,9.321,,,,
5.966667,69.49,9.316,,,,
6,69.38,9.318,,,,
6.033333,69.34,9.317,,,,
6.066667,69.4,9.317,,,,
6.1,69.91,9.316,,,,
6.133333,68.93,9.315,,,,
6.166667,69.32,9.314,,,,
6.2,69.2,9.312,,,,
6.233333,69.24,9.314,,,,
6.266667,69.69,9.31,,,,
6.3,69.38,9.314,,,,
6.333333,69.45,9.314,,,,
6.366667,69.34,9.31,,,,
6.4,69.6,9.312,,,,
6.433333,69.21,9.312,,,,
6.466667,69.31,9.313,,,,
6.5,69.31,9.312,,,,
6.533333,69.36,9.312,,,,
6.566667,69.36,9.312,,,,
6.6,69.57,9.314,,,,
6.633333,69.61,9.314,,,,
6.666667,69.51,9.312,,,,
6.7,69.78,9.311,,,,
6.733333,69.37,9.309,,,,
6.766667,69.56,9.312,,,,
6.8,69.07,9.31,,,,
6.833333,69.58,9.309,,,,
6.866667,69.34,9.308,,,,
6.9,69.58,9.31,,,,
6.933333,69.45,9.311,,,,
6.966667,69.69,9.309,,,,
7,69.83,9.309,,,,
7.033333,69.57,9.31,,,,
7.066667,69.03,9.311,,,,
7.1,69.3,9.307,,,,
7.133333,69.41,9.308,,,,
7.166667,69.24,9.306,,,,
7.2,69.47,9.309,,,,
7.233333,69.34,9.309,,,,
7.266667,69.53,9.309,,,,
7.3,69.53,9.308,,,,
7.333333,69.19,9.306,,,,
7.366667,69.17,9.307,,,,
7.4,69.21,9.305,,,,
7.433333,69.56,9.306,,,,
7.466667,69.34,9.307,,,,
7.5,69.73,9.304,,,,
7.533333,69.34,9.306,,,,
7.566667,69.24,9.304,,,,
7.6,69.11,9.303,,,,
7.633333,69.28,9.307,,,,
7.666667,69.66,9.306,,,,
7.7,69.08,9.305,,,,
7.733333,69.65,9.304,,,,
7.766667,69.23,9.304,,,,
7.8,69.44,9.302,,,,
7.833333,69.38,9.305,,,,
7.866667,69.3,9.303,,,,
7.9,69.28,9.304,,,,
7.933333,69.16,9.302,,,,
7.966667,69.38,9.303,,,,
8,69.32,9.302,,,,
8.033333,69.74,9.303,,,,
8.066667,69.4,9.303,,,,
8.1,69.22,9.303,,,,
8.133333,69.11,9.302,,,,
8.166667,69.24,9.301,,,,
8.2,69.58,9.299,,,,
8.233333,69.49,9.299,,,,
8.266667,69.25,9.299,,,,
8.3,69.43,9.3,,,,
8.333333,69.38,9.3,,,,
8.366667,69.22,9.298,,,,
8.4,69.3,9.298,,,,
8.433333,69.5,9.3,,,,
8.466667,69.68,9.299,,,,
8.5,69.41,9.301,,,,
8.533333,69.15,9.296,,,,
8.566667,69.44,9.298,,,,
8.6,69.73,9.298,,,,
8.633333,69.77,9.297,,,,
8.666667,69.44,9.298,,,,
8.7,69.43,9.298,,,,
8.733333,69.55,9.299,,,,
8.766667,69.7,9.297,,,,
8.8,69.18,9.298,,,,
8.833333,69.15,9.295,,,,
8.866667,69.14,9.295,,,,
8.9,69.26,9.296,,,,
8.933333,69.52,9.296,,,,
8.966667,69.97,9.294,,,,
9,69.86,9.295,,,,
9.033333,69.52,9.295,,,,
9.066667,69.68,9.293,,,,
9.1,69.27,9.292,,,,
9.133333,69.78,9.291,,,,
9.166667,69.54,9.292,,,,
9.2,69.5,9.293,,,,
9.233333,69.58,9.295,,,,
9.266667,69.69,9.294,,,,
9.3,69.57,9.292,,,,
9.333333,69.97,9.293,,,,
9.366667,69.54,9.293,,,,
9.4,69.11,9.294,,,,
9.433333,69.51,9.293,,,,
9.466667,69.62,9.292,,,,
9.5,69.78,9.293,,,,
9.533333,69.64,9.294,,,,
9.566667,69.55,9.294,,,,
9.6,69.3,9.29,,,,
9.633333,69.5,9.293,,,,
9.666667,69.34,9.295,,,,
9.7,69.36,9.29,,,,
9.733333,69.35,9.292,,,,
9.766667,69.38,9.292,,,,
9.8,69.45,9.289,,,,
9.833333,69.39,9.289,,,,
9.866667,69.49,9.289,,,,
9.9,69.47,9.291,,,,
9.933333,69.35,9.29,,,,
9.966667,69.4,9.29,,,,
10,69.5,9.29,,,,
10.033333,69.54,9.291,,,,
10.066667,69.07,9.29,,,,
10.1,69.42,9.289,,,,
10.133333,69.43,9.287,,,,
10.166667,69.43,9.292,,,,
10.2,69.78,9.288,,,,
10.233333,69.57,9.289,,,,
10.266667,69.19,9.287,,,,
10.3,69.5,9.287,,,,
10.333333,69.82,9.287,,,,
10.366667,69.47,9.287,,,,
10.4,69.5,9.288,,,,
10.433333,69.66,9.285,,,,
10.466667,69.64,9.286,,,,
10.5,69.43,9.286,,,,
10.533333,69.57,9.286,,,,
10.566667,69.42,9.286,,,,
10.6,69.45,9.286,,,,
10.633333,69.45,9.284,,,,
10.666667,69.02,9.284,,,,
10.7,69.65,9.284,,,,
10.733333,69.32,9.286,,,,
10.766667,69.54,9.286,,,,
10.8,69.28,9.285,,,,
10.833333,69.79,9.286,,,,
10.866667,69.39,9.285,,,,
10.9,69.63,9.285,,,,
10.933333,69.96,9.282,,,,
10.966667,69.8,9.284,,,,
11,69.45,9.281,,,,
11.033333,69.24,9.283,,,,
11.066667,69.57,9.281,,,,
11.1,69.82,9.283,,,,
11.133333,69.75,9.285,,,,
11.166667,69.78,9.282,,,,
11.2,69.5,9.283,,,,
11.233333,69.59,9.282,,,,
11.266667,69.68,9.281,,,,
11.3,69.8,9.28,,,,
11.333333,69.34,9.28,,,,
11.366667,69.82,9.281,,,,
11.4,69.39,9.279,,,,
11.433333,69.22,9.28,,,,
11.466667,69.43,9.277,,,,
11.5,69.59,9.279,,,,
11.533333,69.49,9.282,,,,
11.566667,69.33,9.276,,,,
11.6,69.52,9.28,,,,
11.633333,69.83,9.278,,,,
11.666667,69.56,9.28,,,,
11.7,69.53,9.279,,,,
11.733333,69.39,9.279,,,,
11.766667,69.56,9.279,,,,
11.8,69.19,9.277,,,,
11.833333,69.59,9.277,,,,
11.866667,69.49,9.278,,,,
11.9,69.52,9.279,,,,
11.933333,69.73,9.279,,,,
11.966667,69.78,9.276,,,,
12,69.45,9.279,,,,
12.033333,69.4,9.279,,,,
12.066667,69.62,9.276,,,,
12.1,69.4,9.277,,,,
12.133333,69.88,9.277,,,,
12.166667,69.58,9.275,,,,
12.2,69.83,9.276,,,,
12.233333,69.16,9.276,,,,
12.266667,69.83,9.275,,,,
12.3,69.5,9.278,,,,
12.333333,69.6,9.28,,,,
12.366667,69.56,9.275,,,,
12.4,69.33,9.273,,,,
12.433333,69.32,9.274,,,,
12.466667,69.53,9.276,,,,
12.5,69.48,9.273,,,,
12.533333,69.52,9.274,,,,
12.566667,69.81,9.272,,,,
12.6,69.46,9.272,,,,
12.633333,69.42,9.272,,,,
12.666667,69.43,9.272,,,,
12.7,69.48,9.273,,,,
12.733333,69.7,9.271,,,,
12.766667,69.74,9.274,,,,
12.8,69.29,9.272,,,,
12.833333,69.9,9.27,,,,
12.866667,69.27,9.273,,,,
12.9,69.62,9.272,,,,
12.933333,69.77,9.269,,,,
12.966667,70.16,9.271,,,,
13,69.44,9.271,,,,
13.033333,69.41,9.272,,,,
13.066667,69.53,9.271,,,,
13.1,70.02,9.27,,,,
13.133333,69.7,9.269,,,,
13.166667,69.75,9.271,,,,
13.2,69.45,9.27,,,,
13.233333,69.31,9.269,,,,
13.266667,69.46,9.267,,,,
13.3,68.96,9.269,,,,
13.333333,70.05,9.268,,,,
13.366667,69.4,9.269,,,,
13.4,69.54,9.267,,,,
13.433333,69.54,9.268,,,,
13.466667,69.55,9.266,,,,
13.5,69.72,9.269,,,,
13.533333,69.92,9.27,,,,
13.566667,69.56,9.267,,,,
13.6,69.7,9.267,,,,
13.633333,70.04,9.267,,,,
13.666667,69.71,9.266,,,,
13.7,69.62,9.265,,,,
13.733333,69.78,9.269,,,,
13.766667,69.43,9.266,,,,
13.8,69.84,9.269,,,,
13.833333,69.87,9.266,,,,
13.866667,69.82,9.267,,,,
13.9,69.56,9.266,,,,
13.933333,69.87,9.267,,,,
13.966667,69.5,9.265,,,,
14,69.69,9.264,,,,
14.033333,69.59,9.265,,,,
14.066667,70.27,9.265,,,,
14.1,69.59,9.264,,,,
14.133333,69.31,9.262,,,,
14.166667,69.77,9.267,,,,
14.2,69.54,9.262,,,,
14.233333,69.66,9.264,,,,
14.266667,69.68,9.263,,,,
