Time (min),Temperature (C),TG (mg),Temperature (Celsius),Exp. Repetition,Lifting,Material
2.616667,79.14,9.413,80,1,YES,m-xylene solvate of Ibrutinib
2.633333,79.36,9.415,,,,
2.65,79.44,9.415,,,,
2.666667,79.58,9.415,,,,
2.683333,79.34,9.415,,,,
2.7,79.15,9.413,,,,
2.716667,79.34,9.417,,,,
2.733333,79.5,9.415,,,,
2.75,79.5,9.414,,,,
2.766667,79.67,9.415,,,,
2.783333,79.56,9.414,,,,
2.8,79.35,9.412,,,,
2.816667,79.42,9.413,,,,
2.833333,79.61,9.413,,,,
2.85,79.61,9.41,,,,
2.866667,79.68,9.412,,,,
2.883333,79.7,9.412,,,,
2.9,79.63,9.41,,,,
2.916667,79.38,9.409,,,,
2.933333,79.58,9.409,,,,
2.95,79.7,9.411,,,,
2.966667,79.68,9.41,,,,
2.983333,79.58,9.409,,,,
3,79.94,9.413,,,,
3.016667,79.79,9.409,,,,
3.033333,80.05,9.41,,,,
3.05,79.65,9.409,,,,
3.066667,79.76,9.408,,,,
3.083333,79.45,9.406,,,,
3.1,79.88,9.407,,,,
3.116667,80,9.409,,,,
3.133333,79.73,9.408,,,,
3.15,79.74,9.407,,,,
3.166667,79.91,9.404,,,,
3.183333,79.99,9.406,,,,
3.2,79.91,9.407,,,,
3.216667,79.85,9.407,,,,
3.233333,79.97,9.406,,,,
3.25,79.53,9.402,,,,
3.266667,79.92,9.404,,,,
3.283333,79.59,9.402,,,,
3.3,79.62,9.404,,,,
3.316667,79.86,9.403,,,,
3.333333,79.7,9.403,,,,
3.35,80.03,9.401,,,,
3.366667,79.71,9.403,,,,
3.383333,79.79,9.402,,,,
3.4,79.62,9.401,,,,
3.416667,79.55,9.403,,,,
3.433333,79.66,9.4,,,,
3.45,79.5,9.4,,,,
3.466667,79.93,9.403,,,,
3.483333,79.99,9.401,,,,
3.5,79.86,9.401,,,,
3.516667,79.93,9.399,,,,
3.533333,80.01,9.4,,,,
3.55,79.88,9.401,,,,
3.566667,79.8,9.398,,,,
3.583333,79.47,9.398,,,,
3.6,80.08,9.4,,,,
3.616667,79.98,9.398,,,,
3.633333,79.77,9.396,,,,
3.65,79.92,9.4,,,,
3.666667,80.09,9.397,,,,
3.683333,80.04,9.396,,,,
3.7,79.7,9.397,,,,
3.716667,79.96,9.397,,,,
3.733333,79.7,9.396,,,,
3.75,79.8,9.395,,,,
3.766667,80,9.399,,,,
3.783333,80.06,9.395,,,,
3.8,79.87,9.394,,,,
3.816667,80.04,9.395,,,,
3.833333,79.97,9.395,,,,
3.85,79.99,9.395,,,,
3.866667,80.03,9.395,,,,
3.883333,79.96,9.395,,,,
3.9,79.8,9.392,,,,
3.916667,79.69,9.393,,,,
3.933333,80.12,9.394,,,,
3.95,79.71,9.392,,,,
3.966667,80.02,9.394,,,,
3.983333,79.65,9.392,,,,
4,80.06,9.392,,,,
4.016667,80.08,9.392,,,,
4.033333,79.97,9.391,,,,
4.05,79.94,9.394,,,,
4.066667,80.05,9.392,,,,
4.083333,79.7,9.391,,,,
4.1,79.76,9.389,,,,
4.116667,79.78,9.389,,,,
4.133333,80.01,9.389,,,,
4.15,79.57,9.387,,,,
4.166667,80.01,9.39,,,,
4.183333,79.68,9.388,,,,
4.2,79.99,9.389,,,,
4.216667,80.23,9.389,,,,
4.233333,79.96,9.388,,,,
4.25,79.94,9.385,,,,
4.266667,80.02,9.387,,,,
4.283333,80.08,9.39,,,,
4.3,79.68,9.387,,,,
4.316667,80.09,9.388,,,,
4.333333,80.12,9.388,,,,
4.35,80.09,9.386,,,,
4.366667,80.28,9.388,,,,
4.383333,79.99,9.386,,,,
4.4,79.66,9.386,,,,
4.416667,80.13,9.385,,,,
4.433333,79.84,9.385,,,,
4.45,80,9.387,,,,
4.466667,79.86,9.387,,,,
4.483333,79.91,9.384,,,,
4.5,79.96,9.383,,,,
4.516667,79.71,9.383,,,,
4.533333,79.7,9.382,,,,
4.55,80.07,9.383,,,,
4.566667,80.19,9.384,,,,
4.583333,80.17,9.385,,,,
4.6,80.14,9.385,,,,
4.616667,79.57,9.381,,,,
4.633333,79.96,9.381,,,,
4.65,80.04,9.382,,,,
4.666667,79.9,9.38,,,,
4.683333,79.74,9.381,,,,
4.7,80.11,9.381,,,,
4.716667,79.9,9.381,,,,
4.733333,79.94,9.379,,,,
4.75,79.75,9.38,,,,
4.766667,80.08,9.38,,,,
4.783333,79.76,9.38,,,,
4.8,79.75,9.378,,,,
4.816667,79.55,9.379,,,,
4.833333,79.95,9.377,,,,
4.85,79.95,9.378,,,,
4.866667,79.69,9.377,,,,
4.883333,79.81,9.377,,,,
4.9,79.84,9.378,,,,
4.916667,79.98,9.377,,,,
4.933333,79.89,9.378,,,,
4.95,79.93,9.376,,,,
4.966667,79.78,9.374,,,,
4.983333,80,9.376,,,,
5,79.86,9.375,,,,
5.016667,80.09,9.377,,,,
5.033333,80.1,9.377,,,,
5.05,79.97,9.373,,,,
5.066667,79.6,9.372,,,,
5.083333,79.81,9.374,,,,
5.1,80,9.372,,,,
5.116667,79.79,9.372,,,,
5.133333,79.75,9.372,,,,
5.15,80.13,9.373,,,,
5.166667,79.92,9.372,,,,
5.183333,80.06,9.373,,,,
5.2,80.34,9.373,,,,
5.216667,79.83,9.371,,,,
5.233333,79.99,9.372,,,,
5.25,80.06,9.371,,,,
5.266667,79.9,9.368,,,,
5.283333,79.7,9.367,,,,
5.3,79.89,9.37,,,,
5.316667,79.94,9.369,,,,
5.333333,80.08,9.37,,,,
5.35,79.76,9.368,,,,
5.366667,80.08,9.37,,,,
5.383333,79.93,9.365,,,,
5.4,79.8,9.367,,,,
5.416667,80.17,9.367,,,,
5.433333,79.82,9.368,,,,
5.45,80.12,9.366,,,,
5.466667,80.12,9.367,,,,
5.483333,80.14,9.365,,,,
5.5,79.9,9.366,,,,
5.516667,79.93,9.365,,,,
5.533333,80.04,9.366,,,,
5.55,79.79,9.365,,,,
5.566667,80.2,9.368,,,,
5.583333,79.68,9.364,,,,
5.6,79.71,9.362,,,,
5.616667,79.93,9.362,,,,
5.633333,79.84,9.365,,,,
5.65,79.88,9.361,,,,
5.666667,80.04,9.363,,,,
5.683333,79.78,9.361,,,,
5.7,79.83,9.364,,,,
5.716667,79.91,9.36,,,,
5.733333,80.21,9.361,,,,
5.75,80.07,9.36,,,,
5.766667,79.85,9.359,,,,
5.783333,79.89,9.359,,,,
5.8,80.06,9.359,,,,
5.816667,80.05,9.358,,,,
5.833333,80.11,9.36,,,,
5.85,80.06,9.358,,,,
5.866667,79.74,9.356,,,,
5.883333,79.84,9.356,,,,
5.9,79.76,9.357,,,,
5.916667,80.03,9.355,,,,
5.933333,79.95,9.356,,,,
5.95,79.73,9.357,,,,
5.966667,79.81,9.356,,,,
5.983333,80.09,9.356,,,,
6,79.98,9.354,,,,
6.016667,79.9,9.355,,,,
6.033333,80.13,9.355,,,,
6.05,79.96,9.356,,,,
6.066667,79.93,9.353,,,,
6.083333,79.93,9.353,,,,
6.1,79.84,9.353,,,,
6.116667,79.63,9.352,,,,
6.133333,80.04,9.351,,,,
6.15,80.37,9.352,,,,
6.166667,80.27,9.351,,,,
6.183333,80.19,9.353,,,,
6.2,79.92,9.348,,,,
6.216667,80.06,9.35,,,,
6.233333,79.89,9.348,,,,
6.25,79.78,9.348,,,,
6.266667,79.85,9.35,,,,
6.283333,80.19,9.348,,,,
6.3,80.02,9.348,,,,
6.316667,80.16,9.347,,,,
6.333333,79.97,9.345,,,,
6.35,80,9.346,,,,
6.366667,79.93,9.346,,,,
6.383333,80.28,9.345,,,,
6.4,80.22,9.344,,,,
6.416667,79.62,9.342,,,,
6.433333,80.03,9.344,,,,
6.45,80.07,9.344,,,,
6.466667,79.95,9.344,,,,
6.483333,80.11,9.343,,,,
6.5,80.08,9.342,,,,
6.516667,80.06,9.34,,,,
6.533333,80.23,9.343,,,,
6.55,80.63,9.343,,,,
6.566667,80.25,9.342,,,,
6.583333,80.15,9.34,,,,
6.6,80.25,9.342,,,,
6.616667,79.96,9.34,,,,
6.633333,79.93,9.337,,,,
6.65,80.02,9.34,,,,
6.666667,80.41,9.34,,,,
6.683333,80.01,9.338,,,,
6.7,80.11,9.338,,,,
6.716667,79.98,9.335,,,,
6.733333,80.09,9.338,,,,
6.75,80.07,9.337,,,,
6.766667,79.88,9.336,,,,
6.783333,79.65,9.332,,,,
6.8,79.97,9.332,,,,
6.816667,80.14,9.334,,,,
6.833333,80.1,9.333,,,,
6.85,80.16,9.333,,,,
6.866667,80.13,9.333,,,,
6.883333,80.16,9.333,,,,
6.9,80.37,9.336,,,,
6.916667,80.23,9.333,,,,
6.933333,80.09,9.331,,,,
6.95,80.17,9.33,,,,
6.966667,79.9,9.331,,,,
6.983333,80.44,9.331,,,,
7,80.02,9.33,,,,
7.016667,80.14,9.329,,,,
7.033333,79.82,9.328,,,,
7.05,80.12,9.328,,,,
7.066667,80.1,9.328,,,,
7.083333,80.38,9.327,,,,
7.1,79.9,9.328,,,,
7.116667,80.09,9.326,,,,
7.133333,80.33,9.326,,,,
7.15,80.24,9.326,,,,
7.166667,80.07,9.324,,,,
7.183333,79.73,9.323,,,,
7.2,80.09,9.324,,,,
7.216667,80.16,9.325,,,,
7.233333,80.17,9.323,,,,
7.25,80.16,9.323,,,,
7.266667,80.07,9.323,,,,
7.283333,80.03,9.321,,,,
7.3,79.91,9.321,,,,
7.316667,79.93,9.321,,,,
7.333333,80.19,9.322,,,,
7.35,80.35,9.319,,,,
7.366667,80.22,9.319,,,,
7.383333,79.95,9.317,,,,
7.4,80.45,9.319,,,,
7.416667,80.33,9.319,,,,
7.433333,80.16,9.319,,,,
7.45,79.92,9.314,,,,
7.466667,80.42,9.319,,,,
7.483333,80.21,9.316,,,,
7.5,79.91,9.314,,,,
7.516667,80.2,9.316,,,,
7.533333,80.14,9.316,,,,
7.55,80.28,9.315,,,,
7.566667,80.14,9.313,,,,
7.583333,79.95,9.313,,,,
7.6,80.41,9.313,,,,
7.616667,80.05,9.313,,,,
7.633333,80.08,9.31,,,,
7.65,80.15,9.311,,,,
7.666667,79.97,9.308,,,,
7.683333,80.14,9.309,,,,
7.7,80.26,9.308,,,,
7.716667,80.14,9.308,,,,
7.733333,80.12,9.307,,,,
7.75,80.18,9.308,,,,
7.766667,79.76,9.305,,,,
7.783333,79.97,9.307,,,,
7.8,80.28,9.305,,,,
7.816667,80.37,9.306,,,,
7.833333,80.24,9.305,,,,
7.85,80.24,9.303,,,,
7.866667,80.24,9.303,,,,
7.883333,80.23,9.303,,,,
7.9,80.27,9.303,,,,
7.916667,80.18,9.303,,,,
7.933333,80.09,9.301,,,,
7.95,80.15,9.3,,,,
7.966667,80.06,9.3,,,,
7.983333,80.62,9.303,,,,
8,80.12,9.299,,,,
8.016667,80.2,9.3,,,,
8.033333,80.07,9.298,,,,
8.05,80.38,9.3,,,,
8.066667,80.09,9.296,,,,
