Time (min),Conversion
0.152,0.00901
0.882,0.02126
1.854,0.03737
1.855,0.03739
3.313,0.06165
3.555,0.06573
4.044,0.07406
5.26,0.09555
5.745,0.10453
6.23,0.11367
7.693,0.14099
8.42,0.15368
8.422,0.15371
8.905,0.16165
10.852,0.19126
11.586,0.20198
11.823,0.20547
12.071,0.20911
14.014,0.23822
14.986,0.25311
15.72,0.2645
15.721,0.26452
17.176,0.28716
18.148,0.30199
19.364,0.31982
19.369,0.31989
19.614,0.32334
20.582,0.33663
22.77,0.36584
23.262,0.37251
23.75,0.37923
24.718,0.39282
26.418,0.41726
27.154,0.4279
27.886,0.43845
28.61,0.44873
30.311,0.4715
31.046,0.48053
32.021,0.49169
32.99,0.50216
34.203,0.51485
35.426,0.52761
36.644,0.54065
37.369,0.54852
38.096,0.55642
39.805,0.57469
41.024,0.58726
42.235,0.59953
42.475,0.60194
44.428,0.62178
45.89,0.63701
47.098,0.64948
47.102,0.64952
48.807,0.66609
49.774,0.67473
50.513,0.68107
52.455,0.69731
53.673,0.70763
54.884,0.71826
55.379,0.72266
57.565,0.7415
58.54,0.74918
60.245,0.76112
60.481,0.76266
63.161,0.77937
63.65,0.78241
65.599,0.79485
66.321,0.79947
68.758,0.81427
69.003,0.81565
70.709,0.82467
72.162,0.83179
74.355,0.84218
74.6,0.84334
76.062,0.85045
78.246,0.8613
80.196,0.87104
80.197,0.87104
81.659,0.87826
84.087,0.89021
85.793,0.89874
86.036,0.89997
87.012,0.90491
90.171,0.91937
91.39,0.92366
91.633,0.92441
92.609,0.92706
96.012,0.93428
97.474,0.93751
97.474,0.93751
98.206,0.93939
102.097,0.95127
103.071,0.95413
103.315,0.9548
103.559,0.95545
108.181,0.96667
108.669,0.96798
108.913,0.96866
109.155,0.96935
114.265,0.98649
114.266,0.98649
114.509,0.98736
114.752,0.98824
119.62,1.00466
