conversion,time,temperature
0.050000000000000044,0.0007523392410075057,225.0
0.05673411394744832,0.0008028162593826816,225.0
0.06385290205053329,0.0008532932777578574,225.0
0.07134691265029502,0.0009037702961330333,225.0
0.0792062499100219,0.000954247314508209,225.0
0.08742059557031245,0.001004724332883385,225.0
0.09597923149597143,0.0010552013512585608,225.0
0.1048710629458629,0.0011056783696337365,225.0
0.11408464249511785,0.0011561553880089124,225.0
0.12360819453763927,0.0012066324063840883,225.0
0.1334296402956766,0.0012571094247592642,225.0
0.1435366232623474,0.00130758644313444,225.0
0.15391653500237035,0.0013580634615096157,225.0
0.16455654123594665,0.0014085404798847916,225.0
0.17544360813067283,0.0014590174982599675,225.0
0.1865645287265939,0.0015094945166351432,225.0
0.19790594942000161,0.0015599715350103193,225.0
0.20945439643234942,0.001610448553385495,225.0
0.2211963021916752,0.0016609255717606709,225.0
0.23311803155520194,0.0017114025901358468,225.0
0.2452059078033063,0.0017618796085110227,225.0
0.2574462383367979,0.0018123566268861983,225.0
0.2698253400114301,0.0018628336452613742,225.0
0.28232956404575205,0.00191331066363655,225.0
0.29494532044080146,0.001963787682011726,225.0
0.30765910185270995,0.002014264700386902,225.0
0.3204575068620441,0.0020647417187620778,225.0
0.33332726258661094,0.0021152187371372535,225.0
0.34625524658750384,0.002165695755512429,225.0
0.3592285080213503,0.0022161727738876052,225.0
0.37223428799500824,0.002266649792262781,225.0
0.38526003908235495,0.002317126810637957,225.0
0.39829344396627697,0.0023676038290131327,225.0
0.4113224331725158,0.0024180808473883084,225.0
0.4243352018656046,0.0024685578657634845,225.0
0.437320225680756,0.00251903488413866,225.0
0.4502662755692076,0.0025695119025138363,225.0
0.4631624316381645,0.002619988920889012,225.0
0.47599809597012355,0.0026704659392641876,225.0
0.48876300440996046,0.0027209429576393633,225.0
0.5014472373117328,0.00277141997601454,225.0
0.5140412292406594,0.0028218969943897155,225.0
0.5265357776291859,0.002872374012764891,225.0
0.5389220503894026,0.002922851031140067,225.0
0.5511915924873613,0.0029733280495152425,225.0
0.5633363314880024,0.003023805067890419,225.0
0.5753485820824626,0.0030742820862655947,225.0
0.5872210496124646,0.0031247591046407704,225.0
0.5989468326092954,0.003175236123015946,225.0
0.6105194243675391,0.0032257131413911217,225.0
0.6219327135762492,0.0032761901597662983,225.0
0.6331809840326033,0.003326667178141474,225.0
0.6442589134652967,0.0033771441965166496,225.0
0.6551615714969607,0.0034276212148918253,225.0
0.6658844167767803,0.003478098233267001,225.0
0.6764232933161813,0.0035285752516421767,225.0
0.6867744260619997,0.003579052270017353,225.0
0.696934415742906,0.003629529288392529,225.0
0.7069002330260493,0.0036800063067677045,225.0
0.7166692120219025,0.0037304833251428802,225.0
0.7262390431761423,0.003780960343518056,225.0
0.7356077655880756,0.0038314373618932324,225.0
0.7447737587956356,0.003881914380268408,225.0
0.753735734067329,0.003932391398643584,225.0
0.7624927252416998,0.0039828684170187595,225.0
0.7710440791549249,0.004033345435393935,225.0
0.7793894456970386,0.004083822453769112,225.0
0.7875287675370347,0.004134299472144287,225.0
0.7954622695567082,0.004184776490519463,225.0
0.8031904480325729,0.004235253508894639,225.0
0.8107140596045516,0.004285730527269814,225.0
0.8180341100693764,0.004336207545644991,225.0
0.8251518430357647,0.004386684564020167,225.0
0.8320687284774679,0.004437161582395342,225.0
0.8387864512192276,0.004487638600770518,225.0
0.8453068993895183,0.004538115619145694,225.0
0.8516321528727364,0.00458859263752087,225.0
0.857764471792193,0.004639069655896046,225.0
0.8637062850539091,0.0046895466742712215,225.0
0.8694601789798038,0.004740023692646397,225.0
0.8750288860574035,0.004790500711021574,225.0
0.880415273831709,0.004840977729396749,225.0
0.8856223339633277,0.004891454747771925,225.0
0.8906531714754311,0.004941931766147101,225.0
0.8955109942105356,0.004992408784522276,225.0
0.9001991025165292,0.005042885802897453,225.0
0.9047208791797932,0.005093362821272629,225.0
0.9090797796217007,0.005143839839647804,225.0
0.9132793223732142,0.00519431685802298,225.0
0.9173230798407592,0.005244793876398156,225.0
0.9212146693750393,0.005295270894773332,225.0
0.9249577446529582,0.005345747913148508,225.0
0.9285559873813606,0.0053962249315236835,225.0
0.9320130993298748,0.005446701949898859,225.0
0.9353327946987646,0.005497178968274035,225.0
0.938518792826354,0.005547655986649211,225.0
0.9415748112392991,0.005598133005024387,225.0
0.9445045590477475,0.005648610023399563,225.0
0.9473117306862291,0.005699087041774738,225.0
0.95,0.005749564060149914,225.0
