,conversion,time,temperature
0,0.050000000000000044,3.508050375759656e-10,275.0
1,0.05673411394744832,3.7434174995602554e-10,275.0
2,0.06385290205053329,3.9787846233608553e-10,275.0
3,0.07134691265029502,4.2141517471614547e-10,275.0
4,0.0792062499100219,4.449518870962054e-10,275.0
5,0.08742059557031245,4.684885994762654e-10,275.0
6,0.09597923149597143,4.920253118563253e-10,275.0
7,0.1048710629458629,5.155620242363853e-10,275.0
8,0.11408464249511785,5.390987366164452e-10,275.0
9,0.12360819453763927,5.626354489965053e-10,275.0
10,0.1334296402956766,5.861721613765652e-10,275.0
11,0.1435366232623474,6.097088737566251e-10,275.0
12,0.15391653500237035,6.332455861366851e-10,275.0
13,0.16455654123594665,6.56782298516745e-10,275.0
14,0.17544360813067295,6.803190108968049e-10,275.0
15,0.1865645287265939,7.038557232768649e-10,275.0
16,0.19790594942000161,7.273924356569248e-10,275.0
17,0.20945439643234942,7.509291480369848e-10,275.0
18,0.2211963021916752,7.744658604170448e-10,275.0
19,0.23311803155520194,7.980025727971047e-10,275.0
20,0.2452059078033063,8.215392851771647e-10,275.0
21,0.2574462383367979,8.450759975572246e-10,275.0
22,0.2698253400114301,8.686127099372845e-10,275.0
23,0.28232956404575216,8.921494223173446e-10,275.0
24,0.2949453204408016,9.156861346974045e-10,275.0
25,0.30765910185270995,9.392228470774645e-10,275.0
26,0.3204575068620441,9.627595594575244e-10,275.0
27,0.33332726258661094,9.862962718375843e-10,275.0
28,0.34625524658750384,1.0098329842176443e-09,275.0
29,0.3592285080213504,1.0333696965977044e-09,275.0
30,0.37223428799500824,1.0569064089777642e-09,275.0
31,0.38526003908235495,1.0804431213578243e-09,275.0
32,0.39829344396627697,1.103979833737884e-09,275.0
33,0.41132243317251593,1.1275165461179442e-09,275.0
34,0.42433520186560447,1.151053258498004e-09,275.0
35,0.4373202256807561,1.174589970878064e-09,275.0
36,0.4502662755692076,1.198126683258124e-09,275.0
37,0.4631624316381646,1.221663395638184e-09,275.0
38,0.47599809597012366,1.2452001080182439e-09,275.0
39,0.48876300440996057,1.2687368203983038e-09,275.0
40,0.5014472373117327,1.2922735327783637e-09,275.0
41,0.5140412292406593,1.3158102451584237e-09,275.0
42,0.5265357776291859,1.3393469575384836e-09,275.0
43,0.5389220503894028,1.3628836699185436e-09,275.0
44,0.5511915924873614,1.3864203822986035e-09,275.0
45,0.5633363314880026,1.4099570946786636e-09,275.0
46,0.5753485820824626,1.4334938070587236e-09,275.0
47,0.5872210496124647,1.4570305194387835e-09,275.0
48,0.5989468326092955,1.4805672318188435e-09,275.0
49,0.6105194243675394,1.5041039441989034e-09,275.0
50,0.6219327135762491,1.5276406565789633e-09,275.0
51,0.6331809840326034,1.5511773689590233e-09,275.0
52,0.6442589134652967,1.5747140813390832e-09,275.0
53,0.6551615714969609,1.5982507937191431e-09,275.0
54,0.6658844167767805,1.621787506099203e-09,275.0
55,0.6764232933161815,1.645324218479263e-09,275.0
56,0.6867744260619997,1.668860930859323e-09,275.0
57,0.696934415742906,1.692397643239383e-09,275.0
58,0.7069002330260494,1.715934355619443e-09,275.0
59,0.7166692120219025,1.739471067999503e-09,275.0
60,0.7262390431761424,1.763007780379563e-09,275.0
61,0.7356077655880757,1.7865444927596229e-09,275.0
62,0.7447737587956357,1.8100812051396828e-09,275.0
63,0.753735734067329,1.8336179175197427e-09,275.0
64,0.7624927252416998,1.8571546298998027e-09,275.0
65,0.771044079154925,1.8806913422798626e-09,275.0
66,0.7793894456970387,1.9042280546599228e-09,275.0
67,0.7875287675370347,1.9277647670399825e-09,275.0
68,0.7954622695567082,1.9513014794200422e-09,275.0
69,0.8031904480325729,1.9748381918001024e-09,275.0
70,0.8107140596045517,1.9983749041801625e-09,275.0
71,0.8180341100693765,2.0219116165602227e-09,275.0
72,0.8251518430357647,2.0454483289402824e-09,275.0
73,0.832068728477468,2.068985041320342e-09,275.0
74,0.8387864512192278,2.0925217537004023e-09,275.0
75,0.8453068993895184,2.1160584660804624e-09,275.0
76,0.8516321528727364,2.139595178460522e-09,275.0
77,0.857764471792193,2.163131890840582e-09,275.0
78,0.8637062850539091,2.186668603220642e-09,275.0
79,0.8694601789798038,2.210205315600702e-09,275.0
80,0.8750288860574035,2.233742027980762e-09,275.0
81,0.8804152738317091,2.257278740360822e-09,275.0
82,0.8856223339633277,2.2808154527408818e-09,275.0
83,0.8906531714754311,2.304352165120942e-09,275.0
84,0.8955109942105356,2.3278888775010016e-09,275.0
85,0.9001991025165292,2.3514255898810618e-09,275.0
86,0.904720879179793,2.3749623022611215e-09,275.0
87,0.9090797796217007,2.3984990146411817e-09,275.0
88,0.9132793223732143,2.4220357270212414e-09,275.0
89,0.9173230798407592,2.4455724394013015e-09,275.0
90,0.9212146693750393,2.4691091517813617e-09,275.0
91,0.9249577446529582,2.4926458641614214e-09,275.0
92,0.9285559873813606,2.5161825765414816e-09,275.0
93,0.9320130993298748,2.5397192889215413e-09,275.0
94,0.9353327946987646,2.5632560013016014e-09,275.0
95,0.9385187928263539,2.586792713681661e-09,275.0
96,0.9415748112392991,2.6103294260617213e-09,275.0
97,0.9445045590477475,2.633866138441781e-09,275.0
98,0.9473117306862291,2.657402850821841e-09,275.0
99,0.95,2.680939563201901e-09,275.0
