Time (min),Temperature (C),TG (mg),Mass Percentage,Conversion
0,31.54,9.6083,100,0
0.0167,32.05,9.6082,99.998959233163,5.84692743961685E-05
0.0333,32.53,9.6081,99.997918466326,0.000116938548792
0.05,32.73,9.6079,99.995836932652,0.000233877097585
0.0667,32.98,9.6078,99.994796165815,0.000292346371982
0.0833,34.09,9.6076,99.992714632141,0.000409284920774
0.1,34.21,9.6075,99.991673865304,0.00046775419517
0.1167,35.23,9.6073,99.98959233163,0.000584692743963
0.1333,35.02,9.6072,99.9885515647929,0.000643162018359
0.15,35.43,9.607,99.9864700311189,0.000760100567152
0.1667,35.89,9.6068,99.9843884974449,0.000877039115945
0.1833,36.4,9.6066,99.9823069637709,0.000993977664737
0.2,36.17,9.6064,99.9802254300969,0.001110916213529
0.2167,36.72,9.6061,99.9771031295859,0.001286324036719
0.2333,37.61,9.6059,99.9750215959119,0.001403262585511
0.25,37.8,9.6057,99.9729400622379,0.001520201134304
0.2667,37.93,9.6054,99.9698177617269,0.001695608957493
0.2833,38.86,9.6052,99.9677362280528,0.001812547506285
0.3,39.01,9.6049,99.9646139275418,0.001987955329474
0.3167,39.24,9.6046,99.9614916270308,0.002163363152663
0.3333,39.75,9.6043,99.9583693265198,0.002338770975852
0.35,40.17,9.604,99.9552470260088,0.002514178799041
0.3667,40.16,9.6037,99.9521247254978,0.00268958662223
0.3833,41,9.6034,99.9490024249867,0.002864994445418
0.4,41.43,9.603,99.9448393576387,0.003098871543004
0.4167,42.04,9.6027,99.9417170571277,0.003274279366193
0.4333,42.6,9.6023,99.9375539897797,0.003508156463778
0.45,42.81,9.6019,99.9333909224317,0.003742033561363
0.4667,42.74,9.6014,99.9281870882466,0.004034379933345
0.4833,43.35,9.601,99.9240240208986,0.004268257030931
0.5,43.39,9.6005,99.9188201867136,0.004560603402912
0.5167,44.06,9.6,99.9136163525285,0.004852949774893
0.5333,44.69,9.5995,99.9084125183435,0.005145296146874
0.55,45.2,9.5989,99.9021679173215,0.005496111793252
0.5667,45.56,9.5984,99.8969640831364,0.005788458165234
0.5833,45.94,9.5978,99.8907194821144,0.006139273811612
0.6,46.13,9.5972,99.8844748810924,0.006490089457989
0.6167,46.28,9.5966,99.8782302800704,0.006840905104367
0.6333,47.17,9.596,99.8719856790483,0.007191720750745
0.65,47.78,9.5954,99.8657410780263,0.007542536397123
0.6667,48,9.5947,99.8584557101673,0.007951821317898
0.6833,48.9,9.594,99.8511703423082,0.008361106238672
0.7,48.88,9.5933,99.8438849744492,0.008770391159446
0.7167,49.07,9.5926,99.8365996065902,0.009179676080219
0.7333,49.78,9.5918,99.8282734718941,0.009647430275391
0.75,50.14,9.591,99.8199473371981,0.010115184470561
0.7667,50.25,9.5901,99.810580435665,0.010641407940128
0.7833,51.19,9.5892,99.8012135341319,0.011167631409694
0.8,51.47,9.5883,99.7918466325989,0.011693854879261
0.8167,52.01,9.5874,99.7824797310659,0.012220078348827
0.8333,52.32,9.5864,99.7720720626958,0.012804771092791
0.85,52.88,9.5853,99.7606236274887,0.01344793311115
0.8667,52.75,9.5842,99.7491751922817,0.01409109512951
0.8833,53.4,9.5831,99.7377267570746,0.014734257147869
0.9,53.61,9.5819,99.7252375550305,0.015435888440625
0.9167,54.36,9.5806,99.7117075861495,0.016195989007776
0.9333,54.66,9.5794,99.6992183841054,0.016897620300532
0.95,54.88,9.5781,99.6856884152243,0.017657720867685
0.9667,55.51,9.5767,99.6711176795063,0.018476290709232
