Time (min),Temperature (C),TG (mg),Temperature (Celsius),Exp. Repetition,Lifting,Material
5.25,65.25,6.358999985,65,1,YES,m-xylene solvate of Ibrutinib
5.26668,65.38,6.358999985,,,,
5.28336,65.22,6.355999951,,,,
5.29998,65.48,6.35800004,,,,
5.31666,65.19,6.355000006,,,,
5.33334,65.46,6.351000026,,,,
5.35002,65.42,6.355000006,,,,
5.36664,65.29,6.353000016,,,,
5.38332,65.21,6.353000016,,,,
5.4,65.62,6.351999972,,,,
5.41668,65.68,6.351999972,,,,
5.43336,65.36,6.351999972,,,,
5.44998,65.32,6.351999972,,,,
5.46666,65.55,6.355000006,,,,
5.48334,65.26,6.351999972,,,,
5.50002,65.65,6.351999972,,,,
5.51664,65.45,6.351000026,,,,
5.53332,65.7,6.351999972,,,,
5.55,65.38,6.349999982,,,,
5.56668,65.4,6.351999972,,,,
5.58336,65.12,6.351000026,,,,
5.59998,65.36,6.349999982,,,,
5.61666,65.34,6.349999982,,,,
5.63334,64.97,6.351000026,,,,
5.65002,65.17,6.347000047,,,,
5.66664,65.35,6.349999982,,,,
5.68332,65.51,6.351000026,,,,
5.7,65.55,6.353000016,,,,
5.71668,65.36,6.351000026,,,,
5.73336,65.54,6.349999982,,,,
5.74998,65.16,6.351000026,,,,
5.76666,65.35,6.349000037,,,,
5.78334,65.29,6.347999992,,,,
5.80002,65.1,6.349000037,,,,
5.81664,65.16,6.349000037,,,,
5.83332,65.06,6.351000026,,,,
5.85,65.29,6.347000047,,,,
5.86668,65.35,6.347999992,,,,
5.88336,65.47,6.349000037,,,,
5.89998,65.55,6.346000002,,,,
5.91666,65.43,6.347999992,,,,
5.93334,65.39,6.347000047,,,,
5.95002,64.91,6.347000047,,,,
5.96664,65.39,6.347000047,,,,
5.98332,65.35,6.347999992,,,,
6,65.32,6.347000047,,,,
6.01668,65.15,6.347000047,,,,
6.03336,65.15,6.347000047,,,,
6.04998,65.44,6.347999992,,,,
6.06666,64.99,6.347000047,,,,
6.08334,65.31,6.347000047,,,,
6.10002,65.29,6.349999982,,,,
6.11664,65.34,6.346000002,,,,
6.13332,65.39,6.346000002,,,,
6.15,64.97,6.344999958,,,,
6.16668,65.44,6.347999992,,,,
6.18336,65.11,6.349000037,,,,
6.19998,64.9,6.347000047,,,,
6.21666,65.28,6.349999982,,,,
6.23334,65.33,6.346000002,,,,
6.25002,64.98,6.349000037,,,,
6.26664,65.3,6.346000002,,,,
6.28332,65.27,6.347999992,,,,
6.3,65.05,6.349000037,,,,
6.31668,65.32,6.344999958,,,,
6.33336,65.25,6.347000047,,,,
6.34998,65.44,6.347999992,,,,
6.36666,64.94,6.347999992,,,,
6.38334,65.41,6.347999992,,,,
6.40002,65.2,6.349000037,,,,
6.41664,65.07,6.347999992,,,,
6.43332,65.33,6.347999992,,,,
6.45,65.27,6.347000047,,,,
6.46668,65.16,6.346000002,,,,
6.48336,65.07,6.349000037,,,,
6.49998,65.09,6.347999992,,,,
6.51666,64.98,6.346000002,,,,
6.53334,65.33,6.347999992,,,,
6.55002,65.49,6.349000037,,,,
6.56664,65.32,6.347999992,,,,
6.58332,65.01,6.344999958,,,,
6.6,65.16,6.346000002,,,,
6.61668,65.04,6.347000047,,,,
6.63336,65.26,6.346000002,,,,
6.64998,64.93,6.347000047,,,,
6.66666,65.16,6.344999958,,,,
6.68334,65.26,6.347000047,,,,
6.70002,65.13,6.346000002,,,,
6.71664,65.02,6.346000002,,,,
6.73332,65.43,6.347999992,,,,
6.75,65.27,6.346000002,,,,
6.76668,65.23,6.347000047,,,,
6.78336,65.45,6.347000047,,,,
6.79998,65.09,6.347000047,,,,
6.81666,65.06,6.347000047,,,,
6.83334,65.4,6.346000002,,,,
6.85002,65,6.347000047,,,,
6.86664,65.07,6.344999958,,,,
6.88332,65.63,6.344999958,,,,
6.9,65.48,6.349000037,,,,
6.91668,65.13,6.344000013,,,,
6.93336,65.05,6.344999958,,,,
6.94998,65.37,6.347999992,,,,
6.96666,65.42,6.346000002,,,,
6.98334,65.02,6.344999958,,,,
7.00002,65.36,6.346000002,,,,
7.01664,65.31,6.346000002,,,,
7.03332,65.07,6.346000002,,,,
7.05,65.35,6.347999992,,,,
7.06668,65.16,6.347000047,,,,
7.08336,64.6,6.344999958,,,,
7.09998,65.55,6.344999958,,,,
7.11666,65.38,6.344999958,,,,
7.13334,65.37,6.347999992,,,,
7.15002,65.03,6.347000047,,,,
7.16664,65.17,6.346000002,,,,
7.18332,65.08,6.346000002,,,,
7.2,65.49,6.346000002,,,,
7.21668,65.68,6.344999958,,,,
7.23336,65.09,6.342999968,,,,
7.24998,65.61,6.347000047,,,,
7.26666,64.94,6.347000047,,,,
7.28334,65.19,6.344999958,,,,
7.30002,65.31,6.347000047,,,,
7.31664,65.3,6.346000002,,,,
7.33332,65.03,6.347999992,,,,
7.35,65.14,6.344999958,,,,
7.36668,64.97,6.344000013,,,,
7.38336,65.3,6.346000002,,,,
7.39998,65.17,6.346000002,,,,
7.41666,65.22,6.342999968,,,,
7.43334,65.4,6.342000023,,,,
7.45002,65.32,6.346000002,,,,
7.46664,65.05,6.346000002,,,,
7.48332,65.06,6.344000013,,,,
7.5,65.18,6.346000002,,,,
7.51668,65.32,6.349000037,,,,
7.53336,65.27,6.346000002,,,,
7.54998,65.3,6.344999958,,,,
7.56666,64.64,6.344999958,,,,
7.58334,65.25,6.344999958,,,,
7.60002,64.75,6.347000047,,,,
7.61664,65.33,6.347000047,,,,
7.63332,65.09,6.344999958,,,,
7.65,64.96,6.344999958,,,,
7.66668,64.85,6.344000013,,,,
7.68336,65.06,6.344999958,,,,
7.69998,65.07,6.344000013,,,,
7.71666,65.04,6.347999992,,,,
7.73334,64.99,6.344999958,,,,
7.75002,65.47,6.346000002,,,,
7.76664,65.14,6.347000047,,,,
7.78332,65.18,6.346000002,,,,
7.8,65.05,6.344000013,,,,
7.81668,65.01,6.342999968,,,,
7.83336,65.25,6.344000013,,,,
7.84998,65.17,6.344999958,,,,
7.86666,65.12,6.342999968,,,,
7.88334,65.66,6.344000013,,,,
7.90002,65.06,6.346000002,,,,
7.91664,65.46,6.342000023,,,,
7.93332,65.09,6.346000002,,,,
7.95,65.49,6.342999968,,,,
7.96668,65.23,6.344999958,,,,
7.98336,65.13,6.344000013,,,,
7.99998,64.9,6.342999968,,,,
8.01666,65.05,6.342999968,,,,
8.03334,65.09,6.342999968,,,,
8.05002,65.39,6.342999968,,,,
8.06664,65.01,6.342999968,,,,
8.08332,65.17,6.344000013,,,,
8.1,65.3,6.344000013,,,,
8.11668,65.19,6.342000023,,,,
8.13336,65.56,6.344999958,,,,
8.14998,65.24,6.342000023,,,,
8.16666,64.9,6.342999968,,,,
8.18334,64.95,6.346000002,,,,
8.20002,65.3,6.342999968,,,,
8.21664,65.15,6.342999968,,,,
8.23332,64.85,6.344000013,,,,
8.25,65.09,6.346000002,,,,
8.26668,65.51,6.344999958,,,,
8.28336,65.46,6.342000023,,,,
8.29998,65.49,6.342999968,,,,
8.31666,65.16,6.340999978,,,,
8.33334,65.31,6.344000013,,,,
8.35002,65.37,6.344999958,,,,
8.36664,65.15,6.344999958,,,,
8.38332,65.31,6.344999958,,,,
8.4,65.36,6.344000013,,,,
8.41668,64.89,6.346000002,,,,
8.43336,65.39,6.346000002,,,,
8.44998,65.55,6.342000023,,,,
8.46666,65.28,6.346000002,,,,
8.48334,65.02,6.342000023,,,,
8.50002,65.1,6.344000013,,,,
8.51664,65.22,6.344000013,,,,
8.53332,65.48,6.344999958,,,,
8.55,65.22,6.344000013,,,,
8.56668,65.07,6.347000047,,,,
8.58336,65.56,6.344999958,,,,
8.59998,65.06,6.344000013,,,,
8.61666,65.09,6.344000013,,,,
8.63334,65.19,6.344999958,,,,
8.65002,65.4,6.342999968,,,,
8.66664,65.26,6.346000002,,,,
8.68332,65.25,6.342000023,,,,
8.7,65.09,6.342999968,,,,
8.71668,65.59,6.344000013,,,,
8.73336,65.39,6.342000023,,,,
8.74998,65.15,6.342999968,,,,
8.76666,65.35,6.344000013,,,,
8.78334,65.2,6.340999978,,,,
8.80002,65.05,6.340999978,,,,
8.81664,65.25,6.340000033,,,,
8.83332,65.21,6.344000013,,,,
8.85,64.94,6.342999968,,,,
8.86668,65.26,6.342000023,,,,
8.88336,65,6.340999978,,,,
8.89998,65.49,6.342000023,,,,
8.91666,64.96,6.342000023,,,,
8.93334,65.3,6.342999968,,,,
8.95002,65.27,6.342000023,,,,
8.96664,65.18,6.342000023,,,,
8.98332,65.12,6.344999958,,,,
9,65.02,6.342000023,,,,
9.01668,65.04,6.342000023,,,,
9.03336,65.35,6.342999968,,,,
9.04998,64.84,6.344000013,,,,
9.06666,64.94,6.344000013,,,,
9.08334,65.24,6.342999968,,,,
9.10002,65.38,6.340999978,,,,
9.11664,65.62,6.340999978,,,,
9.13332,64.92,6.342000023,,,,
9.15,65.3,6.342000023,,,,
9.16668,65.26,6.340999978,,,,
9.18336,65.1,6.340000033,,,,
9.19998,65.1,6.342000023,,,,
9.21666,65.24,6.344000013,,,,
9.23334,65.25,6.342000023,,,,
9.25002,65.18,6.342999968,,,,
9.26664,64.86,6.342000023,,,,
9.28332,64.91,6.342999968,,,,
9.3,65.12,6.340000033,,,,
9.31668,65.28,6.340999978,,,,
9.33336,65.05,6.340999978,,,,
9.34998,65.29,6.344000013,,,,
9.36666,65.21,6.338999989,,,,
9.38334,65.32,6.342999968,,,,
9.40002,64.99,6.344000013,,,,
9.41664,65.09,6.340999978,,,,
9.43332,65.04,6.342000023,,,,
9.45,64.97,6.340000033,,,,
9.46668,65.23,6.340999978,,,,
9.48336,65.07,6.338999989,,,,
9.49998,64.6,6.340000033,,,,
9.51666,65.05,6.340999978,,,,
9.53334,65.5,6.342000023,,,,
9.55002,65.25,6.340000033,,,,
9.56664,65.29,6.340999978,,,,
9.58332,65.04,6.342000023,,,,
9.6,65.19,6.340000033,,,,
9.61668,65.41,6.344000013,,,,
9.63336,65.03,6.342000023,,,,
9.64998,64.79,6.340999978,,,,
9.66666,65.28,6.342000023,,,,
9.68334,65.42,6.340999978,,,,
9.70002,65.21,6.340999978,,,,
9.71664,65.11,6.340000033,,,,
9.73332,65.19,6.344000013,,,,
9.75,64.93,6.342000023,,,,
9.76668,65.06,6.340000033,,,,
9.78336,65.15,6.342000023,,,,
9.79998,65.18,6.340000033,,,,
9.81666,64.97,6.340999978,,,,
9.83334,64.86,6.340000033,,,,
9.85002,64.82,6.340000033,,,,
9.86664,65.17,6.342000023,,,,
9.88332,64.7,6.340000033,,,,
9.9,64.93,6.340999978,,,,
9.91668,65.17,6.340999978,,,,
9.93336,65.34,6.342999968,,,,
9.94998,65.46,6.344000013,,,,
9.96666,65.04,6.340999978,,,,
9.98334,65.27,6.342999968,,,,
10.00002,65.24,6.340999978,,,,
10.01664,65.28,6.342000023,,,,
10.03332,65.28,6.342000023,,,,
10.05,65.16,6.338000043,,,,
10.06668,65.53,6.342000023,,,,
10.08336,64.99,6.340000033,,,,
10.09998,65.28,6.340000033,,,,
10.11666,65.14,6.340999978,,,,
10.13334,65.24,6.340999978,,,,
10.15002,65.11,6.340000033,,,,
10.16664,64.85,6.338999989,,,,
10.18332,65.49,6.338999989,,,,
10.2,64.83,6.340000033,,,,
10.21668,65.21,6.342000023,,,,
10.23336,64.86,6.340000033,,,,
10.24998,65.12,6.340000033,,,,
10.26666,65.22,6.340999978,,,,
10.28334,65.78,6.342000023,,,,
10.30002,65.32,6.340000033,,,,
10.31664,65,6.338000043,,,,
10.33332,65.34,6.342000023,,,,
10.35,65.32,6.342000023,,,,
10.36668,65.41,6.340999978,,,,
10.38336,65.22,6.340999978,,,,
10.39998,65.34,6.342999968,,,,
10.41666,65.72,6.340000033,,,,
10.43334,64.99,6.340999978,,,,
10.45002,65.14,6.340999978,,,,
10.46664,65.07,6.340000033,,,,
10.48332,65.13,6.342000023,,,,
10.5,65.42,6.342999968,,,,
10.51668,65.26,6.340999978,,,,
10.53336,65.01,6.340999978,,,,
10.54998,65.21,6.340999978,,,,
10.56666,65.25,6.338999989,,,,
10.58334,65.6,6.338999989,,,,
10.60002,65.16,6.340000033,,,,
10.61664,65.17,6.340000033,,,,
10.63332,65.13,6.336999999,,,,
10.65,65.24,6.340000033,,,,
10.66668,65.64,6.340999978,,,,
10.68336,65.38,6.342999968,,,,
10.69998,65.77,6.340999978,,,,
10.71666,65.22,6.340999978,,,,
10.73334,65.32,6.342999968,,,,
10.75002,65.51,6.340999978,,,,
10.76664,65.05,6.342000023,,,,
10.78332,65.36,6.342000023,,,,
10.8,65.25,6.340000033,,,,
10.81668,65.32,6.342999968,,,,
10.83336,64.97,6.342000023,,,,
10.84998,65.28,6.342000023,,,,
10.86666,65.58,6.342000023,,,,
10.88334,65.25,6.342000023,,,,
10.90002,65.66,6.340999978,,,,
10.91664,65.03,6.338000043,,,,
10.93332,65.33,6.340000033,,,,
10.95,65.2,6.340000033,,,,
10.96668,65.07,6.336999999,,,,
10.98336,65.25,6.338000043,,,,
10.99998,65.53,6.340000033,,,,
11.01666,64.84,6.340000033,,,,
11.03334,64.98,6.338000043,,,,
11.05002,65.06,6.340000033,,,,
11.06664,65.24,6.338000043,,,,
11.08332,64.95,6.340000033,,,,
11.1,65.2,6.338999989,,,,
11.11668,65.49,6.338999989,,,,
11.13336,65.08,6.340000033,,,,
11.14998,65.03,6.340000033,,,,
11.16666,64.97,6.340000033,,,,
11.18334,65.02,6.338999989,,,,
11.20002,65.43,6.340000033,,,,
11.21664,65.18,6.338999989,,,,
11.23332,64.95,6.338999989,,,,
11.25,65.43,6.336999999,,,,
11.26668,64.91,6.338999989,,,,
11.28336,65.24,6.340000033,,,,
11.29998,65.24,6.338999989,,,,
11.31666,65.45,6.338000043,,,,
11.33334,65.07,6.338000043,,,,
11.35002,65.09,6.340999978,,,,
11.36664,64.75,6.340000033,,,,
11.38332,65.15,6.336999999,,,,
11.4,65.19,6.338999989,,,,
11.41668,65.09,6.336999999,,,,
11.43336,64.93,6.338999989,,,,
11.44998,65.45,6.338000043,,,,
11.46666,65.24,6.340000033,,,,
11.48334,65.19,6.338999989,,,,
11.50002,65.4,6.338000043,,,,
11.51664,65.17,6.340000033,,,,
11.53332,64.99,6.340000033,,,,
11.55,65.2,6.338999989,,,,
11.56668,65.06,6.338000043,,,,
11.58336,65.25,6.340000033,,,,
11.59998,65.29,6.338999989,,,,
11.61666,65.3,6.340000033,,,,
11.63334,65.14,6.338999989,,,,
11.65002,65.65,6.338000043,,,,
11.66664,65.43,6.340000033,,,,
11.68332,65.05,6.338999989,,,,
11.7,65.02,6.338000043,,,,
11.71668,65.43,6.338000043,,,,
11.73336,65.35,6.336999999,,,,
11.74998,65.27,6.338999989,,,,
11.76666,65.07,6.338999989,,,,
11.78334,65.27,6.340999978,,,,
11.80002,65.2,6.338000043,,,,
11.81664,65.06,6.338000043,,,,
11.83332,65.05,6.336999999,,,,
11.85,65.14,6.340999978,,,,
11.86668,65.19,6.340000033,,,,
11.88336,65.53,6.336999999,,,,
11.89998,65.28,6.338000043,,,,
11.91666,64.93,6.338999989,,,,
11.93334,65.41,6.340000033,,,,
11.95002,65.31,6.340999978,,,,
11.96664,64.79,6.338999989,,,,
11.98332,65.13,6.338000043,,,,
12,65.48,6.338000043,,,,
12.01668,65.07,6.338000043,,,,
12.03336,65.54,6.338999989,,,,
12.04998,65.06,6.336999999,,,,
12.06666,65.26,6.338999989,,,,
12.08334,65.19,6.340000033,,,,
12.10002,65.54,6.338000043,,,,
12.11664,65.27,6.338000043,,,,
12.13332,65.23,6.336999999,,,,
12.15,65.09,6.340000033,,,,
12.16668,65.05,6.338000043,,,,
12.18336,65.22,6.338000043,,,,
12.19998,65.81,6.340000033,,,,
12.21666,65.24,6.340000033,,,,
12.23334,65.01,6.338000043,,,,
12.25002,65.21,6.338000043,,,,
12.26664,65.27,6.338000043,,,,
12.28332,65.68,6.340000033,,,,
12.3,65.09,6.338000043,,,,
12.31668,65.36,6.338999989,,,,
12.33336,65.15,6.336999999,,,,
