Time (min),Conversion
0.152,0.01523
0.882,0.0241
1.854,0.03609
1.855,0.0361
3.313,0.05497
3.555,0.05826
4.044,0.06509
5.26,0.08314
5.745,0.09062
6.23,0.09815
7.693,0.12048
8.42,0.13097
8.422,0.131
8.905,0.13773
10.852,0.16365
11.586,0.1731
11.823,0.17615
12.071,0.17932
14.014,0.20406
14.986,0.21638
15.72,0.22571
15.721,0.22572
17.176,0.24427
18.148,0.25671
19.364,0.27235
19.369,0.27242
19.614,0.27558
20.582,0.28807
22.77,0.316
23.262,0.32216
23.75,0.3282
24.718,0.33997
26.418,0.36032
27.154,0.36915
27.886,0.37805
28.61,0.38702
30.311,0.40803
31.046,0.41681
32.021,0.4279
32.99,0.43825
34.203,0.45061
35.426,0.46277
36.644,0.47499
37.369,0.48245
38.096,0.49002
39.805,0.50759
41.024,0.5193
42.235,0.53004
42.475,0.53209
44.428,0.54842
45.89,0.56084
47.098,0.57167
47.102,0.5717
48.807,0.58737
49.774,0.59604
50.513,0.60239
52.455,0.61791
53.673,0.62736
54.884,0.63703
55.379,0.64116
57.565,0.66053
58.54,0.66909
60.245,0.68271
60.481,0.68439
63.161,0.70124
63.65,0.7041
65.599,0.71594
66.321,0.72075
68.758,0.73825
69.003,0.74003
70.709,0.75195
72.162,0.76103
74.355,0.77334
74.6,0.77466
76.062,0.78241
78.246,0.79405
80.196,0.80468
80.197,0.80468
81.659,0.81288
84.087,0.82692
85.793,0.83668
86.036,0.83803
87.012,0.84334
90.171,0.85925
91.39,0.86513
91.633,0.86631
92.609,0.87104
96.012,0.88794
97.474,0.89517
97.474,0.89517
98.206,0.89874
102.097,0.91696
103.071,0.92143
103.315,0.92254
103.559,0.92366
108.181,0.94514
108.669,0.94744
108.913,0.94859
109.155,0.94974
114.265,0.97351
114.266,0.97352
114.509,0.97458
114.752,0.97564
119.62,0.99567
