Time (min),Conversion
0.152,0.00468
0.882,0.02354
1.854,0.04868
1.855,0.04871
3.313,0.08724
3.555,0.0938
4.044,0.10712
5.26,0.13913
5.745,0.15094
6.23,0.16207
7.693,0.19454
8.42,0.21187
8.422,0.21192
8.905,0.22463
10.852,0.27558
11.586,0.29053
11.823,0.295
12.071,0.29953
14.014,0.33374
14.986,0.352
15.72,0.36636
15.721,0.36639
17.176,0.39467
18.148,0.4123
19.364,0.43231
19.369,0.43239
19.614,0.43614
20.582,0.45006
22.77,0.47806
23.262,0.48416
23.75,0.49025
24.718,0.50268
26.418,0.52612
27.154,0.53635
27.886,0.54617
28.61,0.55531
30.311,0.57442
31.046,0.58213
32.021,0.59221
32.99,0.60239
34.203,0.61569
35.426,0.62924
36.644,0.64223
37.369,0.64947
38.096,0.6563
39.805,0.67114
41.024,0.68116
42.235,0.69102
42.475,0.69298
44.428,0.70907
45.89,0.72072
47.098,0.72976
47.102,0.72979
48.807,0.74157
49.774,0.74796
50.513,0.7528
52.455,0.7658
53.673,0.77442
54.884,0.7832
55.379,0.78678
57.565,0.8018
58.54,0.80787
60.245,0.8176
60.481,0.81887
63.161,0.83227
63.65,0.83453
65.599,0.84321
66.321,0.84636
68.758,0.85719
69.003,0.85833
70.709,0.86638
72.162,0.87312
74.355,0.88212
74.6,0.88299
76.062,0.88767
78.246,0.89361
80.196,0.89874
80.197,0.89874
81.659,0.90295
84.087,0.91086
85.793,0.91717
86.036,0.91812
87.012,0.92208
90.171,0.93504
91.39,0.93947
91.633,0.94028
92.609,0.94328
96.012,0.95134
97.474,0.95413
97.474,0.95413
98.206,0.95547
102.097,0.96267
103.071,0.96468
103.315,0.96521
103.559,0.96574
108.181,0.97679
108.669,0.97794
108.913,0.9785
109.155,0.97905
114.265,0.98924
114.266,0.98924
114.509,0.98969
114.752,0.99013
119.62,0.9996
